"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"11","-","-","0","0","","v Pakistan","Karachi","9 Nov 1990"
"23","-","-","0","0","","v England","Lord's","27 May 1991"
"5","-","-","0","0","","v Pakistan","Sharjah","17 Oct 1991"
"45","-","-","0","0","","v India","Sharjah","19 Oct 1991"
"0","-","-","0","0","","v Pakistan","Sharjah","21 Oct 1991"
"54","-","-","1","0","","v Pakistan","Karachi","20 Nov 1991"
"18","-","-","0","0","","v Pakistan","Lahore","22 Nov 1991"
"45","-","-","2","0","","v Pakistan","Faisalabad","24 Nov 1991"
"14","-","-","2","0","","v India","Perth","6 Dec 1991"
"11","-","-","1","0","","v Australia","Melbourne","12 Dec 1991"
"29","-","-","0","0","","v India","Adelaide","14 Dec 1991"
"19","-","-","0","0","","v Australia","Sydney","18 Dec 1991"
"22","-","-","-","-","","v Australia","Melbourne","9 Jan 1992"
"4","-","-","0","0","","v India","Brisbane","11 Jan 1992"
"69","-","-","0","0","","v Australia","Brisbane","12 Jan 1992"
"11","-","-","1","0","","v India","Melbourne","16 Jan 1992"
"88*","-","-","0","0","","v Pakistan","Melbourne","23 Feb 1992"
"0","-","-","0","0","","v England","Melbourne","27 Feb 1992"
"72","-","-","0","0","","v Zimbabwe","Brisbane","29 Feb 1992"
"9","-","-","2","0","","v South Africa","Christchurch","5 Mar 1992"
"52","-","-","0","0","","v New Zealand","Auckland","8 Mar 1992"
"41","-","-","0","0","","v India","Wellington","10 Mar 1992"
"1","-","-","0","0","","v Sri Lanka","Berri","13 Mar 1992"
"70","-","-","0","0","","v Australia","Melbourne","18 Mar 1992"
"50","-","-","1","0","","v South Africa","Kingston","7 Apr 1992"
"86*","-","-","1","0","","v South Africa","Port of Spain","11 Apr 1992"
"35","-","-","0","0","","v South Africa","Port of Spain","12 Apr 1992"
"59","-","-","1","0","","v Pakistan","Perth","4 Dec 1992"
"29","-","-","0","0","","v Australia","Perth","6 Dec 1992"
"4","-","-","1","0","","v Australia","Sydney","8 Dec 1992"
"15","-","-","0","0","","v Pakistan","Adelaide","12 Dec 1992"
"74","-","-","0","0","","v Australia","Melbourne","15 Dec 1992"
"3","-","-","1","0","","v Pakistan","Sydney","17 Dec 1992"
"10","-","-","3","0","","v Pakistan","Brisbane","9 Jan 1993"
"10","-","-","0","0","","v Australia","Brisbane","10 Jan 1993"
"67","-","-","2","0","","v Australia","Sydney","16 Jan 1993"
"60","-","-","0","0","","v Australia","Melbourne","18 Jan 1993"
"13","-","-","0","0","","v South Africa","Port Elizabeth","11 Feb 1993"
"0","-","-","1","0","","v Pakistan","Johannesburg","13 Feb 1993"
"14","-","-","0","0","","v South Africa","Cape Town","17 Feb 1993"
"128","-","-","0","0","","v Pakistan","Durban","19 Feb 1993"
"111*","-","-","0","0","","v South Africa","Bloemfontein","23 Feb 1993"
"26*","-","-","3","0","","v Pakistan","Cape Town","25 Feb 1993"
"49","-","-","0","0","","v Pakistan","Johannesburg","27 Feb 1993"
"114","-","-","0","0","","v Pakistan","Kingston","23 Mar 1993"
"95*","-","-","0","0","","v Pakistan","Port of Spain","26 Mar 1993"
"5","-","-","0","0","","v Pakistan","Port of Spain","27 Mar 1993"
"5","-","-","0","0","","v Pakistan","Kingstown","30 Mar 1993"
"15","-","-","0","0","","v Pakistan","Georgetown","3 Apr 1993"
"5","-","-","2","0","","v Sri Lanka","Sharjah","28 Oct 1993"
"14","-","-","3","0","","v Pakistan","Sharjah","29 Oct 1993"
"14","-","-","1","0","","v Pakistan","Sharjah","1 Nov 1993"
"42","-","-","0","0","","v Sri Lanka","Sharjah","3 Nov 1993"
"153","-","-","1","0","","v Pakistan","Sharjah","5 Nov 1993"
"67","-","-","0","0","","v Sri Lanka","Mumbai","9 Nov 1993"
"7","-","-","1","0","","v South Africa","Mumbai (BS)","14 Nov 1993"
"23","-","-","2","0","","v India","Ahmedabad","16 Nov 1993"
