"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"44","5","49","-","-","1","0","","v Pakistan","Lahore","6 Dec 1990"
"17","64","81","-","-","5","0","","v South Africa","Bridgetown","18 Apr 1992"
"58","0","58","-","-","2","0","","v Australia","Brisbane","27 Nov 1992"
"52","4","56","-","-","2","0","","v Australia","Melbourne","26 Dec 1992"
"277","-","277","0","4","0","0","","v Australia","Sydney","2 Jan 1993"
"52","7","59","-","-","0","0","","v Australia","Adelaide","23 Jan 1993"
"16","-","16","-","-","2","0","","v Australia","Perth","30 Jan 1993"
"6","96","102","-","-","2","0","","v Pakistan","Port of Spain","16 Apr 1993"
"51","DNB","51","-","-","1","0","","v Pakistan","Bridgetown","23 Apr 1993"
"44","19","63","-","-","0","0","","v Pakistan","St John's","1 May 1993"
"18","-","18","-","-","3","0","","v Sri Lanka","Moratuwa","8 Dec 1993"
"83","28","111","-","-","0","0","","v England","Kingston","19 Feb 1994"
"167","-","167","-","-","1","0","","v England","Georgetown","17 Mar 1994"
"43","12","55","-","-","5","0","","v England","Port of Spain","25 Mar 1994"
"26","64","90","-","-","3","0","","v England","Bridgetown","8 Apr 1994"
"375","DNB","375","-","-","0","0","","v England","St John's","16 Apr 1994"
"14","0","14","-","-","1","0","","v India","Mumbai","18 Nov 1994"
"50","3","53","-","-","2","0","","v India","Nagpur","1 Dec 1994"
"40","91","131","-","-","0","0","","v India","Mohali","10 Dec 1994"
"2","-","2","0","8","1","0","","v New Zealand","Christchurch","3 Feb 1995"
"147","-","147","-","-","2","0","","v New Zealand","Wellington","10 Feb 1995"
"65","9","74","-","-","0","0","","v Australia","Bridgetown","31 Mar 1995"
"88","43","131","-","-","0","0","","v Australia","St John's","8 Apr 1995"
"24","14*","38","-","-","1","0","","v Australia","Port of Spain","21 Apr 1995"
"65","0","65","-","-","4","0","","v Australia","Kingston","29 Apr 1995"
"53","48*","101","-","-","1","0","","v England","Leeds","8 Jun 1995"
"6","54","60","-","-","2","0","","v England","Lord's","22 Jun 1995"
"21","-","21","-","-","0","0","","v England","Birmingham","6 Jul 1995"
"87","145","232","-","-","0","0","","v England","Manchester","27 Jul 1995"
"152","20","172","-","-","0","0","","v England","Nottingham","10 Aug 1995"
"179","-","179","0","0","1","0","","v England","The Oval","24 Aug 1995"
"35","DNB","35","-","-","3","0","","v New Zealand","Bridgetown","19 Apr 1996"
"40","74","114","-","-","0","0","","v New Zealand","St John's","27 Apr 1996"
"26","44","70","-","-","1","0","","v Australia","Brisbane","22 Nov 1996"
"2","1","3","-","-","4","0","","v Australia","Sydney","29 Nov 1996"
"2","2","4","-","-","0","0","","v Australia","Melbourne","26 Dec 1996"
"9","78","87","-","-","2","0","","v Australia","Adelaide","25 Jan 1997"
"132","DNB","132","-","-","1","0","","v Australia","Perth","1 Feb 1997"
"83","78","161","0","16","2","0","","v India","Kingston","6 Mar 1997"
"14","19","33","-","-","1","0","","v India","Port of Spain","14 Mar 1997"
"19","45","64","-","-","1","0","","v India","Bridgetown","27 Mar 1997"
"103","-","103","-","-","0","0","","v India","St John's","4 Apr 1997"
"30","-","30","-","-","0","0","","v India","Georgetown","17 Apr 1997"
"0","4","4","-","-","0","0","","v Sri Lanka","St John's","13 Jun 1997"
"1","115","116","-","-","2","0","","v Sri Lanka","Kingstown","20 Jun 1997"
"3","37","40","-","-","2","0","","v Pakistan","Peshawar","17 Nov 1997"
"15","1","16","-","-","0","0","","v Pakistan","Rawalpindi","29 Nov 1997"
"36","37","73","-","-","1","0","","v Pakistan","Karachi","6 Dec 1997"
