"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"1*","-","-","0","0","","v Zimbabwe","Colombo (RPS)","24 Jan 1998"
"74","-","-","0","0","","v Zimbabwe","Colombo (SSC)","26 Jan 1998"
"6","-","-","0","0","","v Pakistan","Kimberley","7 Apr 1998"
"11","-","-","1","0","","v Pakistan","Paarl","9 Apr 1998"
"0","0","17","0","0","","v Pakistan","Benoni","15 Apr 1998"
"1*","-","-","1","0","","v India","Colombo (RPS)","19 Jun 1998"
"5","-","-","0","0","","v South Africa","Nottingham","14 Aug 1998"
"11","0","40","0","0","","v Australia","Sydney","13 Jan 1999"
"12","-","-","0","0","","v England","Melbourne","19 Jan 1999"
"1","0","20","2","0","","v Australia","Hobart","21 Jan 1999"
"120","0","24","0","0","","v England","Adelaide","23 Jan 1999"
"9","0","17","0","0","","v Australia","Adelaide","24 Jan 1999"
"3","-","-","0","0","","v England","Perth","29 Jan 1999"
"36","-","-","0","0","","v Australia","Perth","31 Jan 1999"
"2","1","24","1","0","","v England","Sydney","3 Feb 1999"
"27","0","45","2","0","","v Australia","Melbourne","7 Feb 1999"
"60","-","-","0","0","","v Pakistan","Jamshedpur","19 Mar 1999"
"0","-","-","1","0","","v India","Nagpur","22 Mar 1999"
"101","-","-","0","0","","v Pakistan","Visakhapatnam","27 Mar 1999"
"30","0","46","0","0","","v India","Pune","30 Mar 1999"
"22","0","46","0","0","","v South Africa","Northampton","19 May 1999"
"31","0","8","0","0","","v Zimbabwe","Worcester","22 May 1999"
"4","0","21","0","0","","v India","Taunton","26 May 1999"
"45","2","56","0","0","","v Kenya","Southampton","30 May 1999"
"7","-","-","0","0","","v Australia","Galle","22 Aug 1999"
"27","-","-","1","0","","v India","Colombo (RPS)","25 Aug 1999"
"0","1","16","0","0","","v Australia","Colombo (RPS)","26 Aug 1999"
"62","-","-","0","0","","v India","Colombo (SSC)","29 Aug 1999"
"DNB","-","-","1","0","","v Australia","Colombo (RPS)","31 Aug 1999"
"6","0","7","0","0","","v West Indies","Sharjah","13 Oct 1999"
"1","-","-","0","0","","v Pakistan","Sharjah","15 Oct 1999"
"DNB","-","-","1","0","","v West Indies","Sharjah","17 Oct 1999"
"2","-","-","1","0","","v Pakistan","Sharjah","18 Oct 1999"
"8","-","-","1","0","","v Pakistan","Sharjah","22 Oct 1999"
"3","-","-","0","0","","v Zimbabwe","Bulawayo","11 Dec 1999"
"16","-","-","0","0","","v Zimbabwe","Bulawayo","12 Dec 1999"
"18","1","14","0","0","","v Zimbabwe","Harare","15 Dec 1999"
"63","-","-","0","0","","v Zimbabwe","Harare","18 Dec 1999"
"17","1","24","0","0","","v Zimbabwe","Harare","19 Dec 1999"
"27","-","-","0","0","","v Pakistan","Karachi","13 Feb 2000"
"9","-","-","0","0","","v Pakistan","Gujranwala","16 Feb 2000"
"43","-","-","0","0","","v Pakistan","Lahore","19 Feb 2000"
"DNB","-","-","1","0","","v Bangladesh","Dhaka","29 May 2000"
"7","-","-","1","0","","v India","Dhaka","1 Jun 2000"
"2","-","-","0","0","","v Pakistan","Dhaka","5 Jun 2000"
"0","-","-","0","0","","v Pakistan","Dhaka","7 Jun 2000"
"14","-","-","1","0","","v Pakistan","Galle","5 Jul 2000"
"8","-","-","1","0","","v South Africa","Galle","6 Jul 2000"
"49","-","-","1","0","","v Pakistan","Colombo (RPS)","9 Jul 2000"
"14*","-","-","2","0","","v South Africa","Colombo (SSC)","11 Jul 2000"
"27","-","-","0","0","","v South Africa","Colombo (RPS)","14 Jul 2000"
"72","-","-","1","0","","v West Indies","Nairobi (Gym)","4 Oct 2000"
"11","-","-","0","0","","v Pakistan","Nairobi (Gym)","8 Oct 2000"
"38","-","-","0","0","","v India","Sharjah","20 Oct 2000"
"25*","-","-","0","0","","v Zimbabwe","Sharjah","21 Oct 2000"
"5","1","4","3","0","","v Zimbabwe","Sharjah","25 Oct 2000"
"128","0","26","0","0","","v India","Sharjah","27 Oct 2000"
"3","-","-","0","0","","v India","Sharjah","29 Oct 2000"
"13","-","-","0","0","","v South Africa","Port Elizabeth","15 Dec 2000"
"59","-","-","1","0","","v South Africa","East London","17 Dec 2000"
"22","-","-","0","0","","v South Africa","Paarl","9 Jan 2001"
"37","-","-","0","0","","v South Africa","Cape Town","11 Jan 2001"
"1","-","-","0","0","","v South Africa","Bloemfontein","14 Jan 2001"
"25","0","4","0","0","","v South Africa","Johannesburg","17 Jan 2001"
"32","-","-","0","0","","v New Zealand","Napier","31 Jan 2001"
"7","-","-","0","0","","v New Zealand","Wellington","3 Feb 2001"
"DNB","-","-","0","0","","v New Zealand","Auckland","6 Feb 2001"
"17*","-","-","0","0","","v New Zealand","Hamilton","8 Feb 2001"
"46","-","-","0","0","","v New Zealand","Christchurch","11 Feb 2001"
"3","-","-","0","0","","v England","Dambulla","23 Mar 2001"
"101*","-","-","2","0","","v England","Colombo (RPS)","25 Mar 2001"
"DNB","-","-","1","0","","v England","Colombo (SSC)","27 Mar 2001"
"27","-","-","0","0","","v Pakistan","Sharjah","8 Apr 2001"
"116","-","-","1","0","","v New Zealand","Sharjah","10 Apr 2001"
"31","-","-","0","0","","v Pakistan","Sharjah","13 Apr 2001"
"41","-","-","1","0","","v New Zealand","Sharjah","17 Apr 2001"
"67","-","-","1","0","","v Pakistan","Sharjah","20 Apr 2001"
"14","-","-","0","0","","v New Zealand","Colombo (RPS)","18 Jul 2001"
"0","-","-","0","0","","v India","Colombo (RPS)","22 Jul 2001"
"0","-","-","1","0","","v New Zealand","Colombo (RPS)","25 Jul 2001"
"5","-","-","0","0","","v India","Colombo (RPS)","28 Jul 2001"
"58","-","-","0","0","","v New Zealand","Colombo (SSC)","31 Jul 2001"
"34","-","-","1","0","","v India","Colombo (SSC)","1 Aug 2001"
"57","-","-","1","0","","v India","Colombo (RPS)","5 Aug 2001"
"33","-","-","1","0","","v Zimbabwe","Sharjah","26 Oct 2001"
"29*","-","-","1","0","","v Pakistan","Sharjah","27 Oct 2001"
"63","-","-","0","0","","v Zimbabwe","Sharjah","30 Oct 2001"
"84","-","-","0","0","","v Pakistan","Sharjah","2 Nov 2001"
"43","-","-","0","0","","v Pakistan","Sharjah","4 Nov 2001"
"DNB","-","-","1","0","","v Zimbabwe","Colombo (SSC)","8 Dec 2001"
"2","-","-","1","0","","v West Indies","Colombo (RPS)","11 Dec 2001"
"96","-","-","2","0","","v Zimbabwe","Colombo (RPS)","12 Dec 2001"
"106*","-","-","1","0","","v West Indies","Kandy","15 Dec 2001"
"63","-","-","0","0","","v West Indies","Colombo (RPS)","19 Dec 2001"
"8","-","-","1","0","","v Pakistan","Sharjah","8 Apr 2002"
"38","-","-","0","0","","v New Zealand","Sharjah","9 Apr 2002"
"1","-","-","0","0","","v Pakistan","Sharjah","12 Apr 2002"
"39","0","9","0","0","","v New Zealand","Sharjah","14 Apr 2002"
"0","-","-","1","0","","v Pakistan","Sharjah","17 Apr 2002"
"29","-","-","1","0","","v England","Nottingham","27 Jun 2002"
"62","-","-","0","0","","v India","The Oval","30 Jun 2002"
"4","-","-","2","0","","v England","Leeds","2 Jul 2002"
"36","-","-","0","0","","v India","Birmingham","6 Jul 2002"
"42","-","-","0","0","","v England","Manchester","7 Jul 2002"
"31","0","16","0","0","","v India","Bristol","11 Jul 2002"
"18","-","-","1","0","","v Bangladesh","Colombo (SSC)","4 Aug 2002"
"27*","-","-","0","0","","v Bangladesh","Colombo (SSC)","5 Aug 2002"
"16","-","-","0","0","","v Bangladesh","Colombo (RPS)","7 Aug 2002"
"32","-","-","1","0","","v Pakistan","Tangier","14 Aug 2002"
"32","-","-","1","0","","v South Africa","Tangier","15 Aug 2002"
"43","-","-","3","0","","v Pakistan","Tangier","17 Aug 2002"
"11","-","-","0","0","","v South Africa","Tangier","19 Aug 2002"
"5","-","-","1","0","","v South Africa","Tangier","21 Aug 2002"
"DNB","-","-","0","0","","v Pakistan","Colombo (RPS)","12 Sep 2002"
