"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"66","-","66","0","6","2","0","","v India","Colombo (RPS)","2 Aug 1997"
"16","7","23","0","29","2","0","","v India","Colombo (SSC)","9 Aug 1997"
"52","54","106","0","10","3","0","","v New Zealand","Colombo (RPS)","27 May 1998"
"167","-","167","-","-","1","0","","v New Zealand","Galle","3 Jun 1998"
"16","11","27","-","-","1","0","","v New Zealand","Colombo (SSC)","10 Jun 1998"
"9","DNB","9","0","5","2","0","","v England","The Oval","27 Aug 1998"
"242","-","242","1","65","0","0","","v India","Colombo (SSC)","24 Feb 1999"
"4","50","54","-","-","0","0","","v Pakistan","Lahore","4 Mar 1999"
"0","1","1","0","35","1","0","","v Pakistan","Dhaka","12 Mar 1999"
"46","9","55","-","-","0","0","","v Australia","Kandy","9 Sep 1999"
"46","DNB","46","-","-","1","0","","v Australia","Galle","22 Sep 1999"
"21","-","21","-","-","1","0","","v Australia","Colombo (SSC)","30 Sep 1999"
"17","-","17","-","-","1","0","","v Zimbabwe","Bulawayo","18 Nov 1999"
"91","6*","97","0","7","2","0","","v Zimbabwe","Harare","26 Nov 1999"
"2","DNB","2","0","12","2","0","","v Zimbabwe","Harare","4 Dec 1999"
"42","35","77","-","-","3","0","","v Pakistan","Rawalpindi","26 Feb 2000"
"36","10","46","1","7","6","0","","v Pakistan","Peshawar","5 Mar 2000"
"1","29","30","-","-","0","0","","v Pakistan","Karachi","12 Mar 2000"
"77","1","78","0","2","2","0","","v Pakistan","Colombo (SSC)","14 Jun 2000"
"72","9","81","2","32","0","0","","v Pakistan","Galle","21 Jun 2000"
"2","-","2","-","-","-","-","","v Pakistan","Kandy","28 Jun 2000"
"167","-","167","-","-","0","0","","v South Africa","Galle","20 Jul 2000"
"18","1","19","-","-","3","0","","v South Africa","Kandy","30 Jul 2000"
"34","101*","135","-","-","1","0","","v South Africa","Colombo (SSC)","6 Aug 2000"
"98","7","105","-","-","0","0","","v South Africa","Durban","26 Dec 2000"
"0","45","45","0","2","2","0","","v South Africa","Cape Town","2 Jan 2001"
"17","23","40","-","-","0","0","","v South Africa","Centurion","20 Jan 2001"
"61","-","61","-","-","3","0","","v England","Galle","22 Feb 2001"
"101","18","119","-","-","0","0","","v England","Kandy","7 Mar 2001"
"71","11","82","-","-","3","0","","v England","Colombo (SSC)","15 Mar 2001"
"28","DNB","28","-","-","0","0","","v India","Galle","14 Aug 2001"
"104","25","129","-","-","0","0","","v India","Kandy","22 Aug 2001"
"139","-","139","-","-","3","0","","v India","Colombo (SSC)","29 Aug 2001"
"150","-","150","-","-","1","0","","v Bangladesh","Colombo (SSC)","6 Sep 2001"
"99","DNB","99","-","-","1","0","","v West Indies","Galle","13 Nov 2001"
"88","16","104","-","-","1","0","","v West Indies","Kandy","21 Nov 2001"
"39","DNB","39","-","-","3","0","","v West Indies","Colombo (SSC)","29 Nov 2001"
"18","-","18","-","-","2","0","","v Zimbabwe","Colombo (SSC)","27 Dec 2001"
"56","-","56","-","-","1","0","","v Zimbabwe","Kandy","4 Jan 2002"
"76","17*","93","-","-","1","0","","v Zimbabwe","Galle","12 Jan 2002"
"68","12*","80","-","-","0","0","","v Pakistan","Lahore","6 Mar 2002"
"107","14*","121","-","-","1","0","","v England","Lord's","16 May 2002"
"47","59","106","-","-","0","0","","v England","Birmingham","30 May 2002"
"17","28","45","-","-","1","0","","v England","Manchester","13 Jun 2002"
"0","-","0","-","-","0","0","","v Bangladesh","Colombo (PSS)","21 Jul 2002"
"39","1","40","-","-","0","0","","v South Africa","Johannesburg","8 Nov 2002"
"44","40","84","0","2","0","0","","v South Africa","Centurion","15 Nov 2002"
"58","-","58","-","-","1","0","","v New Zealand","Colombo (PSS)","25 Apr 2003"
"15","32*","47","-","-","1","0","","v New Zealand","Kandy","3 May 2003"
"45","DNB","45","-","-","0","0","","v West Indies","Gros Islet","20 Jun 2003"
"10","32","42","-","-","0","0","","v West Indies","Kingston","27 Jun 2003"
"17","86*","103","-","-","1","0","","v England","Galle","2 Dec 2003"
"45","52","97","-","-","4","0","","v England","Kandy","10 Dec 2003"
"134","-","134","-","-","2","0","","v England","Colombo (SSC)","18 Dec 2003"
"68","21","89","-","-","3","0","","v Australia","Galle","8 Mar 2004"
"17","13","30","-","-","2","0","","v Australia","Kandy","16 Mar 2004"
"29","37","66","-","-","1","0","","v Australia","Colombo (SSC)","24 Mar 2004"
"37","-","37","-","-","6","0","","v Zimbabwe","Harare","6 May 2004"
"100*","-","100","-","-","2","0","","v Zimbabwe","Bulawayo","14 May 2004"
"14","44","58","-","-","0","0","","v Australia","Darwin","1 Jul 2004"
"43","6","49","-","-","2","0","","v Australia","Cairns","9 Jul 2004"
"237","5","242","-","-","2","0","","v South Africa","Galle","4 Aug 2004"
"82","3","85","-","-","0","0","","v South Africa","Colombo (SSC)","11 Aug 2004"
"0","57","57","-","-","2","0","","v Pakistan","Faisalabad","20 Oct 2004"
"16","32","48","-","-","3","0","","v Pakistan","Karachi","28 Oct 2004"
"141","DNB","141","-","-","0","0","","v New Zealand","Napier","4 Apr 2005"
"1","13","14","0","14","2","0","","v New Zealand","Wellington","11 Apr 2005"
"3","41*","44","-","-","3","0","","v West Indies","Colombo (SSC)","13 Jul 2005"
"6","43","49","-","-","4","0","","v West Indies","Kandy","22 Jul 2005"
"63","-","63","-","-","0","0","","v Bangladesh","Colombo (RPS)","12 Sep 2005"
"2","-","2","-","-","0","0","","v Bangladesh","Colombo (PSS)","20 Sep 2005"
"71","-","71","-","-","0","0","","v India","Chennai","2 Dec 2005"
"60","67","127","-","-","0","0","","v India","Delhi","10 Dec 2005"
"0","57","57","-","-","1","0","","v India","Ahmedabad","18 Dec 2005"
"30","23*","53","-","-","0","0","","v Bangladesh","Chattogram","28 Feb 2006"
"49","DNB","49","-","-","1","0","","v Bangladesh","Bogra","8 Mar 2006"
"1","82","83","-","-","1","0","","v Pakistan","Colombo (SSC)","26 Mar 2006"
"4","15","19","-","-","2","0","","v Pakistan","Kandy","3 Apr 2006"
"61","119","180","-","-","2","0","","v England","Lord's","11 May 2006"
"0","5","5","-","-","1","0","","v England","Birmingham","25 May 2006"
"0","45","45","-","-","4","0","","v England","Nottingham","2 Jun 2006"
"374","-","374","-","-","1","0","","v South Africa","Colombo (SSC)","27 Jul 2006"
"13","123","136","-","-","0","0","","v South Africa","Colombo (PSS)","4 Aug 2006"
"8","0","8","-","-","1","0","","v New Zealand","Christchurch","7 Dec 2006"
"0","31","31","-","-","1","0","","v New Zealand","Wellington","15 Dec 2006"
"127","-","127","-","-","1","0","","v Bangladesh","Colombo (SSC)","25 Jun 2007"
"49","-","49","-","-","4","0","","v Bangladesh","Colombo (PSS)","3 Jul 2007"
"165","-","165","-","-","5","0","","v Bangladesh","Kandy","11 Jul 2007"
"14","49","63","-","-","0","0","","v Australia","Brisbane","8 Nov 2007"
"104","0","104","-","-","1","0","","v Australia","Hobart","16 Nov 2007"
"1","65","66","-","-","0","0","","v England","Kandy","1 Dec 2007"
"195","-","195","0","4","2","0","","v England","Colombo (SSC)","9 Dec 2007"
"213*","-","213","-","-","3","0","","v England","Galle","18 Dec 2007"
"136","33","169","-","-","2","0","","v West Indies","Providence","22 Mar 2008"
"26","12","38","-","-","1","0","","v West Indies","Port of Spain","3 Apr 2008"
"136","-","136","-","-","1","0","","v India","Colombo (SSC)","23 Jul 2008"
"86","5","91","-","-","1","0","","v India","Galle","31 Jul 2008"
"2","50*","52","-","-","2","0","","v India","Colombo (PSS)","8 Aug 2008"
"3","166","169","-","-","3","0","","v Bangladesh","Dhaka","26 Dec 2008"
"11","22","33","-","-","2","0","","v Bangladesh","Chattogram","3 Jan 2009"
"240","22","262","1","41","1","0","","v Pakistan","Karachi","21 Feb 2009"
"30","-","30","-","-","0","0","","v Pakistan","Lahore","1 Mar 2009"
"30","0","30","-","-","3","0","","v Pakistan","Galle","4 Jul 2009"
"19","37*","56","-","-","0","0","","v Pakistan","Colombo (PSS)","12 Jul 2009"
"79","2","81","0","9","2","0","","v Pakistan","Colombo (SSC)","20 Jul 2009"
"114","27","141","1","10","1","0","","v New Zealand","Galle","18 Aug 2009"
"92","96","188","-","-","3","0","","v New Zealand","Colombo (SSC)","26 Aug 2009"
"275","-","275","-","-","0","0","","v India","Ahmedabad","16 Nov 2009"
"47","10","57","-","-","1","0","","v India","Kanpur","24 Nov 2009"
"29","12","41","-","-","0","0","","v India","Mumbai (BS)","2 Dec 2009"
"48","DNB","48","-","-","5","0","","v India","Galle","18 Jul 2010"
"174","5","179","-","-","0","0","","v India","Colombo (SSC)","26 Jul 2010"
"56","5","61","-","-","4","0","","v India","Colombo (PSS)","3 Aug 2010"
"59","58","117","-","-","2","0","","v West Indies","Galle","15 Nov 2010"
"2","DNB","2","-","-","1","0","","v West Indies","Colombo (RPS)","23 Nov 2010"
"TDNB","-","-","-","-","1","0","","v West Indies","Pallekele","1 Dec 2010"
"4","15","19","-","-","2","0","","v England","Cardiff","26 May 2011"
"49","25","74","-","-","0","0","","v England","Lord's","3 Jun 2011"
"4","6","10","0","5","1","0","","v England","Southampton","16 Jun 2011"
"11","105","116","-","-","1","0","","v Australia","Galle","31 Aug 2011"
"4","51","55","-","-","1","0","","v Australia","Pallekele","8 Sep 2011"
"51","DNB","51","-","-","2","0","","v Australia","Colombo (SSC)","16 Sep 2011"
