"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"38","0","14","0","0","","v England","Cape Town","9 Jan 1996"
"29","0","27","0","0","","v England","Bloemfontein","11 Jan 1996"
"16","-","-","0","0","","v England","Johannesburg","13 Jan 1996"
"14*","-","-","1","0","","v England","Centurion","14 Jan 1996"
"67","-","-","0","0","","v England","Durban","17 Jan 1996"
"0","0","9","0","0","","v England","East London","19 Jan 1996"
"2","-","-","0","0","","v England","Port Elizabeth","21 Jan 1996"
"DNB","0","27","0","0","","v U.A.E.","Rawalpindi","16 Feb 1996"
"11*","-","-","0","0","","v New Zealand","Faisalabad","20 Feb 1996"
"26","-","-","0","0","","v England","Rawalpindi","25 Feb 1996"
"9","-","-","0","0","","v Pakistan","Karachi","29 Feb 1996"
"17*","0","30","1","0","","v Netherlands","Rawalpindi","5 Mar 1996"
"24*","3","21","0","0","","v Pakistan","Sharjah","16 Apr 1996"
"22","1","34","0","0","","v India","Sharjah","17 Apr 1996"
"79","2","23","0","0","","v India","Port Elizabeth","2 Feb 1997"
"52*","0","34","0","0","","v India","East London","4 Feb 1997"
"8*","0","27","0","0","","v India","Durban","12 Feb 1997"
"49","0","18","0","0","","v India","Durban","13 Feb 1997"
"63","1","42","1","0","","v Australia","East London","29 Mar 1997"
"82","0","21","0","0","","v Australia","Port Elizabeth","31 Mar 1997"
"23","0","30","1","0","","v Australia","Cape Town","2 Apr 1997"
"1","0","34","1","0","","v Australia","Durban","5 Apr 1997"
"55","0","10","0","0","","v Australia","Johannesburg","8 Apr 1997"
"3","0","37","0","0","","v Australia","Centurion","10 Apr 1997"
"10","1","21","0","0","","v Australia","Bloemfontein","13 Apr 1997"
"8","-","-","1","0","","v Australia","Sydney","4 Dec 1997"
"14","-","-","0","0","","v New Zealand","Adelaide","6 Dec 1997"
"27","-","-","0","0","","v Australia","Melbourne","9 Dec 1997"
"45","-","-","0","0","","v New Zealand","Hobart","11 Dec 1997"
"31","2","49","0","0","","v New Zealand","Brisbane","9 Jan 1998"
"47","2","32","0","0","","v Australia","Brisbane","11 Jan 1998"
"111","2","26","0","0","","v New Zealand","Perth","16 Jan 1998"
"38","0","8","1","0","","v Australia","Perth","18 Jan 1998"
"33","0","23","0","0","","v Australia","Melbourne","23 Jan 1998"
"10","-","-","0","0","","v Australia","Sydney","26 Jan 1998"
"14","0","23","0","0","","v Australia","Sydney","27 Jan 1998"
"109*","0","50","1","0","","v Pakistan","Durban","3 Apr 1998"
"5","-","-","0","0","","v Sri Lanka","Johannesburg","5 Apr 1998"
"6","0","16","1","0","","v Pakistan","East London","11 Apr 1998"
"1","1","30","0","0","","v Sri Lanka","Port Elizabeth","13 Apr 1998"
"79*","-","-","0","0","","v Pakistan","Centurion","17 Apr 1998"
"39","2","16","1","0","","v Sri Lanka","Bloemfontein","19 Apr 1998"
"28*","-","-","2","0","","v Pakistan","Cape Town","23 Apr 1998"
"62","1","24","0","0","","v England","The Oval","21 May 1998"
"9","0","10","1","0","","v England","Manchester","23 May 1998"
"1","-","-","0","0","","v England","Leeds","24 May 1998"
"6","1","22","0","0","","v Sri Lanka","Nottingham","14 Aug 1998"
"19","0","24","0","0","","v England","Birmingham","18 Aug 1998"
"14","3","48","1","0","","v England","Dhaka","25 Oct 1998"
"113*","0","34","0","0","","v Sri Lanka","Dhaka","30 Oct 1998"
"37","5","30","0","0","","v West Indies","Dhaka","1 Nov 1998"
"9","0","22","1","0","","v West Indies","Johannesburg","22 Jan 1999"
"51","0","51","0","0","","v West Indies","East London","24 Jan 1999"
"24","3","24","1","0","","v West Indies","Durban","27 Jan 1999"
"2","1","25","2","0","","v West Indies","Port Elizabeth","30 Jan 1999"
"16","1","25","1","0","","v West Indies","Cape Town","2 Feb 1999"
"30","2","16","1","0","","v West Indies","Bloemfontein","5 Feb 1999"
"66","3","38","3","0","","v West Indies","Centurion","7 Feb 1999"
"100","1","36","1","0","","v New Zealand","Dunedin","14 Feb 1999"
"53","1","28","0","0","","v New Zealand","Christchurch","17 Feb 1999"
"12","0","22","0","0","","v New Zealand","Auckland","20 Feb 1999"
"DNB","1","56","0","0","","v New Zealand","Napier","25 Mar 1999"
"4","3","41","0","0","","v New Zealand","Napier","26 Mar 1999"
"100","1","31","3","0","","v New Zealand","Auckland","27 Mar 1999"
"54","-","-","-","-","","v New Zealand","Wellington","30 Mar 1999"
"96","0","43","0","0","","v India","Hove","15 May 1999"
"12","3","26","1","0","","v Sri Lanka","Northampton","19 May 1999"
"0","2","29","0","0","","v England","The Oval","22 May 1999"
"44*","0","37","0","0","","v Kenya","Amstelveen","26 May 1999"
"0","0","36","0","0","","v Zimbabwe","Chelmsford","29 May 1999"
"54","0","47","0","0","","v Pakistan","Nottingham","5 Jun 1999"
"53*","2","15","0","0","","v New Zealand","Birmingham","10 Jun 1999"
"53","1","27","0","0","","v Australia","Birmingham","17 Jun 1999"
"38","0","12","0","0","","v India","Nairobi (Gym)","26 Sep 1999"
"25","1","35","1","0","","v Zimbabwe","Nairobi (Gym)","28 Sep 1999"
"39","2","27","0","0","","v Kenya","Nairobi (Gym)","30 Sep 1999"
"9","1","33","0","0","","v India","Nairobi (Gym)","3 Oct 1999"
"4","2","34","0","0","","v Zimbabwe","Johannesburg","21 Jan 2000"
"57","0","34","0","0","","v England","Bloemfontein","23 Jan 2000"
"43","2","41","1","0","","v England","Cape Town","26 Jan 2000"
"52","1","41","1","0","","v Zimbabwe","Durban","2 Feb 2000"
"36","1","51","1","0","","v England","East London","4 Feb 2000"
"98*","0","26","0","0","","v Zimbabwe","Port Elizabeth","6 Feb 2000"
"0","2","25","2","0","","v England","Johannesburg","13 Feb 2000"
"37*","1","42","0","0","","v India","Kochi","9 Mar 2000"
"18","0","19","0","0","","v India","Jamshedpur","12 Mar 2000"
"10","2","37","1","0","","v India","Faridabad","15 Mar 2000"
"81*","2","50","1","0","","v India","Vadodara","17 Mar 2000"
"DNB","2","43","0","0","","v India","Sharjah","22 Mar 2000"
"35","0","3","0","0","","v Pakistan","Sharjah","24 Mar 2000"
"53*","0","30","0","0","","v India","Sharjah","27 Mar 2000"
"11","2","57","1","0","","v Pakistan","Sharjah","31 Mar 2000"
"61","1","53","0","0","","v Australia","Durban","12 Apr 2000"
"5","3","40","0","0","","v Australia","Cape Town","14 Apr 2000"
"30","2","38","0","0","","v Australia","Johannesburg","16 Apr 2000"
"11","3","42","0","0","","v Sri Lanka","Galle","6 Jul 2000"
"83","0","47","0","0","","v Pakistan","Colombo (RPS)","8 Jul 2000"
"83*","-","-","0","0","","v Sri Lanka","Colombo (SSC)","11 Jul 2000"
"27","1","18","0","0","","v Pakistan","Colombo (SSC)","12 Jul 2000"
"7","1","64","0","0","","v Sri Lanka","Colombo (RPS)","14 Jul 2000"
"42","1","74","1","0","","v Australia","Melbourne (Docklands)","16 Aug 2000"
"22","1","21","0","0","","v Australia","Melbourne (Docklands)","18 Aug 2000"
"3","1","37","0","0","","v Australia","Melbourne (Docklands)","20 Aug 2000"
"5","2","19","0","0","","v Pakistan","Singapore","23 Aug 2000"
"22","2","15","2","0","","v New Zealand","Singapore","25 Aug 2000"
"1","0","9","0","0","","v Pakistan","Singapore","27 Aug 2000"
"78*","2","26","0","0","","v England","Nairobi (Gym)","10 Oct 2000"
"15","2","71","0","0","","v India","Nairobi (Gym)","13 Oct 2000"
"8*","-","-","-","-","","v New Zealand","Potchefstroom","20 Oct 2000"
"39*","2","34","1","0","","v New Zealand","Benoni","22 Oct 2000"
"45","0","39","0","0","","v New Zealand","Centurion","25 Oct 2000"
"93","2","46","0","0","","v New Zealand","Kimberley","28 Oct 2000"
"50*","1","14","2","0","","v New Zealand","Durban","1 Nov 2000"
"0","0","52","1","0","","v New Zealand","Cape Town","4 Nov 2000"
"0","2","34","0","0","","v Sri Lanka","Port Elizabeth","15 Dec 2000"
"35","0","30","0","0","","v Sri Lanka","East London","17 Dec 2000"
"100*","1","40","0","0","","v Sri Lanka","Paarl","9 Jan 2001"
"82","2","31","0","0","","v Sri Lanka","Cape Town","11 Jan 2001"
"31","2","33","2","0","","v Sri Lanka","Bloemfontein","14 Jan 2001"
"18","0","53","1","0","","v Sri Lanka","Johannesburg","17 Jan 2001"
"23","2","34","1","0","","v West Indies","Kingston","28 Apr 2001"
"78*","2","38","0","0","","v West Indies","St John's","2 May 2001"
"107","0","35","0","0","","v West Indies","St George's","5 May 2001"
"18","4","22","1","0","","v West Indies","Bridgetown","9 May 2001"
"3","1","25","0","0","","v West Indies","Port of Spain","12 May 2001"
"69","1","29","0","0","","v West Indies","Kingstown","16 May 2001"
"83","0","22","1","0","","v Zimbabwe","Bulawayo","23 Sep 2001"
"26","1","24","0","0","","v Zimbabwe","Harare","29 Sep 2001"
"DNB","0","18","0","0","","v Zimbabwe","Harare","30 Sep 2001"
"39","1","45","0","0","","v India","Johannesburg","5 Oct 2001"
"54","1","25","1","0","","v Kenya","Benoni","7 Oct 2001"
"29","0","42","2","0","","v India","Centurion","10 Oct 2001"
"49","1","44","1","0","","v India","East London","19 Oct 2001"
"DNB","1","24","1","0","","v Kenya","Cape Town","22 Oct 2001"
"39","0","41","0","0","","v India","Durban","26 Oct 2001"
"6","3","30","0","0","","v Australia","Melbourne","13 Jan 2002"
"65","2","57","1","0","","v New Zealand","Brisbane","19 Jan 2002"
"37","0","38","0","0","","v Australia","Brisbane","20 Jan 2002"
"30","1","18","0","0","","v New Zealand","Adelaide","27 Jan 2002"
"11","1","44","1","0","","v New Zealand","Perth","1 Feb 2002"
"104*","0","52","1","0","","v Australia","Perth","3 Feb 2002"
"59*","0","25","2","0","","v New Zealand","Melbourne","6 Feb 2002"
"10","3","23","0","0","","v New Zealand","Sydney","8 Feb 2002"
"8","2","48","1","0","","v Australia","Johannesburg","22 Mar 2002"
"14","0","38","1","0","","v Australia","Centurion","24 Mar 2002"
"71","1","52","0","0","","v Australia","Potchefstroom","27 Mar 2002"
"43","1","67","0","0","","v Australia","Bloemfontein","30 Mar 2002"
"21","0","41","0","0","","v Australia","Durban","3 Apr 2002"
"80*","2","59","0","0","","v Australia","Port Elizabeth","6 Apr 2002"
"18","1","40","1","0","","v Australia","Cape Town","9 Apr 2002"
"23","2","18","0","0","","v Pakistan","Tangier","12 Aug 2002"
"7","2","47","1","0","","v Sri Lanka","Tangier","15 Aug 2002"
"3","0","56","0","0","","v Pakistan","Tangier","18 Aug 2002"
"84","-","-","0","0","","v Sri Lanka","Tangier","19 Aug 2002"
"24","1","27","0","0","","v Sri Lanka","Tangier","21 Aug 2002"
"10","2","41","1","0","","v West Indies","Colombo (SSC)","13 Sep 2002"
"60","0","17","1","0","","v Kenya","Colombo (RPS)","20 Sep 2002"
"97","1","50","0","0","","v India","Colombo (RPS)","25 Sep 2002"
"47","4","33","2","0","","v Bangladesh","Potchefstroom","3 Oct 2002"
"38*","0","21","0","0","","v Sri Lanka","Johannesburg","27 Nov 2002"
"53","1","16","1","0","","v Sri Lanka","Centurion","29 Nov 2002"
"87","0","34","0","0","","v Sri Lanka","Benoni","1 Dec 2002"
"64*","2","25","0","0","","v Sri Lanka","Kimberley","4 Dec 2002"
"6","1","16","1","0","","v Pakistan","Durban","8 Dec 2002"
"12","1","60","0","0","","v Pakistan","Port Elizabeth","11 Dec 2002"
"4","1","21","3","0","","v Pakistan","East London","13 Dec 2002"
"DNB","2","35","0","0","","v Pakistan","Paarl","16 Dec 2002"
"8","5","41","0","0","","v Pakistan","Cape Town","18 Dec 2002"
"13","0","52","1","0","","v West Indies","Cape Town","9 Feb 2003"
"DNB","0","23","0","0","","v Kenya","Potchefstroom","12 Feb 2003"
"33","0","47","0","0","","v New Zealand","Johannesburg","16 Feb 2003"
"DNB","0","19","1","0","","v Bangladesh","Bloemfontein","22 Feb 2003"
"1","0","11","0","0","","v Canada","East London","27 Feb 2003"
"16","3","41","0","0","","v Sri Lanka","Durban","3 Mar 2003"
"107","1","54","1","0","","v England","The Oval","28 Jun 2003"
"125*","1","30","0","0","","v Zimbabwe","Canterbury","29 Jun 2003"
"82*","1","18","0","0","","v England","Manchester","3 Jul 2003"
"DNB","3","47","0","0","","v Zimbabwe","Cardiff","5 Jul 2003"
"15","1","43","0","0","","v England","Birmingham","8 Jul 2003"
"0","0","33","0","0","","v England","Lord's","12 Jul 2003"
"1","2","53","0","0","","v Pakistan","Lahore","3 Oct 2003"
"42","1","56","0","0","","v Pakistan","Lahore","5 Oct 2003"
"62","0","39","1","0","","v Pakistan","Faisalabad","7 Oct 2003"
"58*","1","20","0","0","","v Pakistan","Rawalpindi","10 Oct 2003"
"40","0","22","2","0","","v Pakistan","Rawalpindi","12 Oct 2003"
"109*","-","-","1","0","","v West Indies","Cape Town","25 Jan 2004"
"16","2","21","0","0","","v West Indies","Port Elizabeth","28 Jan 2004"
"2*","3","8","0","0","","v West Indies","Durban","30 Jan 2004"
"95*","1","37","0","0","","v West Indies","Centurion","1 Feb 2004"
"139","0","39","0","0","","v West Indies","Johannesburg","4 Feb 2004"
"26","0","24","0","0","","v New Zealand","Auckland","13 Feb 2004"
"6","1","20","0","0","","v New Zealand","Christchurch","17 Feb 2004"
"16","1","45","1","0","","v New Zealand","Wellington","20 Feb 2004"
