"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"1","-","1","-","-","0","0","","v England","Durban","14 Dec 1995"
"7","DNB","7","0","2","1","0","","v England","Cape Town","2 Jan 1996"
"6","39","45","1","54","0","0","","v Australia","Johannesburg","28 Feb 1997"
"0","2","2","4","47","0","0","","v Australia","Port Elizabeth","14 Mar 1997"
"2","DNB","2","0","33","0","0","","v Australia","Centurion","21 Mar 1997"
"61","-","61","2","36","0","0","","v Pakistan","Rawalpindi","6 Oct 1997"
"15","101","116","0","5","0","0","","v Australia","Melbourne","26 Dec 1997"
"16","45","61","0","30","0","0","","v Australia","Sydney","2 Jan 1998"
"15","15","30","2","65","1","0","","v Australia","Adelaide","30 Jan 1998"
"15","DNB","15","2","58","0","0","","v Pakistan","Johannesburg","14 Feb 1998"
"43","22","65","0","46","2","0","","v Pakistan","Durban","26 Feb 1998"
"10","69","79","-","-","2","0","","v Pakistan","Port Elizabeth","6 Mar 1998"
"3","49","52","1","68","2","0","","v Sri Lanka","Cape Town","19 Mar 1998"
"12","0*","12","1","54","1","0","","v Sri Lanka","Centurion","27 Mar 1998"
"61","-","61","0","46","2","0","","v England","Birmingham","4 Jun 1998"
"0","DNB","0","5","32","2","0","","v England","Lord's","18 Jun 1998"
"132","-","132","4","81","0","0","","v England","Manchester","2 Jul 1998"
"47","11","58","2","86","1","0","","v England","Nottingham","23 Jul 1998"
"40","3","43","0","61","2","0","","v England","Leeds","6 Aug 1998"
"53","57*","110","2","63","1","0","","v West Indies","Johannesburg","26 Nov 1998"
"30","3","33","1","25","1","0","","v West Indies","Port Elizabeth","10 Dec 1998"
"11","23*","34","4","49","1","0","","v West Indies","Durban","26 Dec 1998"
"110","88*","198","7","124","1","0","","v West Indies","Cape Town","2 Jan 1999"
"83","27","110","3","38","3","0","","v West Indies","Centurion","15 Jan 1999"
"7","-","7","1","105","0","0","","v New Zealand","Auckland","27 Feb 1999"
"148*","-","148","1","34","0","0","","v New Zealand","Christchurch","11 Mar 1999"
"17","4","21","1","94","1","0","","v New Zealand","Wellington","18 Mar 1999"
"64","-","64","7","112","0","0","","v Zimbabwe","Bloemfontein","29 Oct 1999"
"115","-","115","-","-","2","0","","v Zimbabwe","Harare","11 Nov 1999"
"12","-","12","-","-","1","0","","v England","Johannesburg","25 Nov 1999"
"1","85*","86","2","22","1","0","","v England","Port Elizabeth","9 Dec 1999"
"0","69","69","0","38","0","0","","v England","Durban","26 Dec 1999"
"105","-","105","3","80","0","0","","v England","Cape Town","2 Jan 2000"
"25","DNB","25","0","44","0","0","","v England","Centurion","14 Jan 2000"
"5","36*","41","3","51","0","0","","v India","Mumbai","24 Feb 2000"
"95","-","95","2","28","1","0","","v India","Bengaluru","2 Mar 2000"
"29","40","69","1","41","0","0","","v Sri Lanka","Galle","20 Jul 2000"
"16","87","103","3","43","1","0","","v Sri Lanka","Kandy","30 Jul 2000"
"19","0","19","0","52","0","0","","v Sri Lanka","Colombo (SSC)","6 Aug 2000"
"160","13","173","2","118","2","0","","v New Zealand","Bloemfontein","17 Nov 2000"
"12","23","35","1","61","0","0","","v New Zealand","Port Elizabeth","30 Nov 2000"
"79*","-","79","2","26","2","0","","v New Zealand","Johannesburg","8 Dec 2000"
"21","15","36","0","31","0","0","","v Sri Lanka","Durban","26 Dec 2000"
"49","-","49","1","48","3","0","","v Sri Lanka","Cape Town","2 Jan 2001"
"7","-","7","3","54","2","0","","v Sri Lanka","Centurion","20 Jan 2001"
"50","30","80","2","69","0","0","","v West Indies","Georgetown","9 Mar 2001"
"53","0","53","4","84","3","0","","v West Indies","Port of Spain","17 Mar 2001"
"11","20","31","8","101","0","0","","v West Indies","Bridgetown","29 Mar 2001"
"5","30*","35","4","47","0","0","","v West Indies","St John's","6 Apr 2001"
"17","51","68","2","94","1","0","","v West Indies","Kingston","19 Apr 2001"
"157*","42*","199","3","91","1","0","","v Zimbabwe","Harare","7 Sep 2001"
"189*","-","189","-","-","0","0","","v Zimbabwe","Bulawayo","14 Sep 2001"
"68","21*","89","3","143","2","0","","v India","Bloemfontein","3 Nov 2001"
"24","89*","113","2","65","1","0","","v India","Port Elizabeth","16 Nov 2001"
"5","65*","70","3","82","0","0","","v Australia","Adelaide","14 Dec 2001"
"38","99","137","0","55","2","0","","v Australia","Melbourne","26 Dec 2001"
"4","34","38","1","129","1","0","","v Australia","Sydney","2 Jan 2002"
"3","8","11","2","116","0","0","","v Australia","Johannesburg","22 Feb 2002"
"23","73","96","4","133","2","0","","v Australia","Cape Town","8 Mar 2002"
"16","61*","77","5","124","2","0","","v Australia","Durban","15 Mar 2002"
"75*","-","75","0","48","1","0","","v Bangladesh","East London","18 Oct 2002"
"139*","-","139","7","47","3","0","","v Bangladesh","Potchefstroom","25 Oct 2002"
"75","-","75","3","75","2","0","","v Sri Lanka","Johannesburg","8 Nov 2002"
"84","6","90","7","110","1","0","","v Sri Lanka","Centurion","15 Nov 2002"
"105","DNB","105","2","52","0","0","","v Pakistan","Durban","26 Dec 2002"
"31","-","31","1","69","3","0","","v Pakistan","Cape Town","2 Jan 2003"
"27","13","40","2","128","0","0","","v England","Nottingham","14 Aug 2003"
"6","41","47","9","92","1","0","","v England","Leeds","21 Aug 2003"
"66","35","101","3","142","0","0","","v England","The Oval","4 Sep 2003"
"29","18","47","0","67","0","0","","v Pakistan","Lahore","17 Oct 2003"
"10","43","53","2","108","0","0","","v Pakistan","Faisalabad","24 Oct 2003"
"158","44","202","1","74","1","0","","v West Indies","Johannesburg","12 Dec 2003"
"177","-","177","1","50","2","0","","v West Indies","Durban","26 Dec 2003"
"73","130*","203","1","102","2","0","","v West Indies","Cape Town","2 Jan 2004"
"130*","DNB","130","2","95","1","0","","v West Indies","Centurion","16 Jan 2004"
"92","150*","242","3","71","0","0","","v New Zealand","Hamilton","10 Mar 2004"
"40","71","111","1","108","2","0","","v New Zealand","Auckland","18 Mar 2004"
"0","1","1","1","4","0","0","","v New Zealand","Wellington","26 Mar 2004"
"59","52*","111","0","74","0","0","","v Sri Lanka","Galle","4 Aug 2004"
"13","3","16","3","60","2","0","","v Sri Lanka","Colombo (SSC)","11 Aug 2004"
"37","28*","65","-","-","0","0","","v India","Kanpur","20 Nov 2004"
"121","55","176","-","-","1","0","","v India","Kolkata","28 Nov 2004"
"0","61","61","-","-","0","0","","v England","Port Elizabeth","17 Dec 2004"
"162","10","172","1","67","0","0","","v England","Durban","26 Dec 2004"
"149","66","215","0","55","3","0","","v England","Cape Town","2 Jan 2005"
"33","0","33","3","172","3","0","","v England","Johannesburg","13 Jan 2005"
"8","136*","144","0","9","2","0","","v England","Centurion","21 Jan 2005"
"54","-","54","5","53","1","0","","v Zimbabwe","Cape Town","4 Mar 2005"
"58","-","58","6","53","0","0","","v Zimbabwe","Centurion","11 Mar 2005"
"0","109*","109","0","70","2","0","","v West Indies","Georgetown","31 Mar 2005"
"39","19*","58","0","70","1","0","","v West Indies","Port of Spain","8 Apr 2005"
"78","-","78","2","44","1","0","","v West Indies","Bridgetown","21 Apr 2005"
"147","DNB","147","0","96","0","0","","v West Indies","St John's","29 Apr 2005"
"44","39*","83","1","38","4","0","","v Australia","Sydney","14 Oct 2005"
"23","9","32","3","127","1","0","","v Australia","Melbourne","26 Dec 2005"
"111","50*","161","2","33","0","0","","v Australia","Sydney","2 Jan 2006"
"6","36","42","3","51","0","0","","v Australia","Cape Town","16 Mar 2006"
"114","7","121","2","92","1","0","","v Australia","Durban","24 Mar 2006"
"37","27","64","2","87","0","0","","v Australia","Johannesburg","31 Mar 2006"
"38","62","100","1","41","1","0","","v New Zealand","Centurion","15 Apr 2006"
"71","-","71","1","50","1","0","","v New Zealand","Cape Town","27 Apr 2006"
"9","13","22","2","40","1","0","","v New Zealand","Johannesburg","5 May 2006"
"12","27","39","2","97","1","0","","v India","Johannesburg","15 Dec 2006"
"54","32","86","1","67","3","0","","v India","Cape Town","2 Jan 2007"
"18","60*","78","3","99","1","0","","v Pakistan","Centurion","11 Jan 2007"
"24","91","115","1","73","1","0","","v Pakistan","Port Elizabeth","19 Jan 2007"
"28","51","79","6","78","1","0","","v Pakistan","Cape Town","26 Jan 2007"
"155","100*","255","1","25","2","0","","v Pakistan","Karachi","1 Oct 2007"
"59","107*","166","2","55","0","0","","v Pakistan","Lahore","8 Oct 2007"
"29","186","215","3","26","2","0","","v New Zealand","Johannesburg","8 Nov 2007"
"131","-","131","2","53","2","0","","v New Zealand","Centurion","16 Nov 2007"
"0","85","85","1","39","3","0","","v West Indies","Port Elizabeth","26 Dec 2007"
"36","22*","58","2","45","3","0","","v West Indies","Cape Town","2 Jan 2008"
"74","-","74","0","18","2","0","","v West Indies","Durban","10 Jan 2008"
"17","7","24","5","35","0","0","","v Bangladesh","Dhaka","22 Feb 2008"
"39*","-","39","0","28","2","0","","v Bangladesh","Chattogram","29 Feb 2008"
"13","19","32","0","71","3","0","","v India","Chennai","26 Mar 2008"
"132","-","132","1","26","1","0","","v India","Ahmedabad","3 Apr 2008"
"1","15","16","0","23","0","0","","v India","Kanpur","11 Apr 2008"
"7","13","20","0","70","0","0","","v England","Lord's","10 Jul 2008"
"4","DNB","4","3","74","1","0","","v England","Leeds","18 Jul 2008"
"64","5","69","4","90","2","0","","v England","Birmingham","30 Jul 2008"
"2","9","11","3","61","2","0","","v England","The Oval","7 Aug 2008"
"16","-","16","4","27","0","0","","v Bangladesh","Bloemfontein","19 Nov 2008"
"24","-","24","1","54","2","0","","v Bangladesh","Centurion","26 Nov 2008"
"63","57","120","3","89","2","0","","v Australia","Perth","17 Dec 2008"
"26","DNB","26","3","112","4","0","","v Australia","Melbourne","26 Dec 2008"
"37","4","41","1","67","1","0","","v Australia","Sydney","3 Jan 2009"
"27","45","72","3","55","5","0","","v Australia","Johannesburg","26 Feb 2009"
"22","93","115","3","70","1","0","","v Australia","Durban","6 Mar 2009"
"102","-","102","0","52","2","0","","v Australia","Cape Town","19 Mar 2009"
"120","4","124","0","5","1","0","","v England","Centurion","16 Dec 2009"
"75","3","78","0","43","2","0","","v England","Durban","26 Dec 2009"
"108","46","154","1","55","1","0","","v England","Cape Town","3 Jan 2010"
"7","-","7","1","40","1","0","","v England","Johannesburg","14 Jan 2010"
"173","-","173","1","33","1","0","","v India","Nagpur","6 Feb 2010"
"10","20","30","0","40","2","0","","v India","Kolkata","14 Feb 2010"
"28","40","68","2","55","0","0","","v West Indies","Port of Spain","10 Jun 2010"
"110","62*","172","1","65","1","0","","v West Indies","Basseterre","18 Jun 2010"
"43","0*","43","2","46","3","0","","v West Indies","Bridgetown","26 Jun 2010"
"73","135*","208","0","26","1","0","","v Pakistan","Dubai (DSC)","12 Nov 2010"
"105","10","115","1","90","1","0","","v Pakistan","Abu Dhabi","20 Nov 2010"
"201*","-","201","2","76","2","0","","v India","Centurion","16 Dec 2010"
"10","17","27","1","48","3","0","","v India","Durban","26 Dec 2010"
"161","109*","270","-","-","0","0","","v India","Cape Town","2 Jan 2011"
"0","2*","2","0","37","1","0","","v Australia","Cape Town","9 Nov 2011"
"54","2","56","1","84","2","0","","v Australia","Johannesburg","17 Nov 2011"
"31","-","31","0","44","4","0","","v Sri Lanka","Centurion","15 Dec 2011"
"0","0","0","0","67","1","0","","v Sri Lanka","Durban","26 Dec 2011"
"224","DNB","224","3","35","6","0","","v Sri Lanka","Cape Town","3 Jan 2012"
"0","113","113","1","27","1","0","","v New Zealand","Dunedin","7 Mar 2012"
"6","DNB","6","1","20","0","0","","v New Zealand","Hamilton","15 Mar 2012"
"182*","-","182","2","60","2","0","","v England","The Oval","19 Jul 2012"
"19","27","46","1","41","0","0","","v England","Leeds","2 Aug 2012"
"3","31","34","1","79","4","0","","v England","Lord's","16 Aug 2012"
"147","49","196","0","30","2","0","","v Australia","Brisbane","9 Nov 2012"
"58","46","104","2","19","1","0","","v Australia","Adelaide","22 Nov 2012"
"2","37","39","-","-","2","0","","v Australia","Perth","30 Nov 2012"
"60","-","60","2","31","0","0","","v New Zealand","Cape Town","2 Jan 2013"
"8","-","8","1","18","1","0","","v New Zealand","Port Elizabeth","11 Jan 2013"
"50","7","57","3","46","1","0","","v Pakistan","Johannesburg","1 Feb 2013"
"2","21","23","0","60","0","0","","v Pakistan","Cape Town","14 Feb 2013"
"5","0","5","0","44","2","0","","v Pakistan","Abu Dhabi","14 Oct 2013"
"7","-","7","0","9","2","0","","v Pakistan","Dubai (DSC)","23 Oct 2013"
"0","34","34","4","105","1","0","","v India","Johannesburg","18 Dec 2013"
"115","DNB","115","0","36","1","0","","v India","Durban","26 Dec 2013"
