"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"35","-","-","1","0","","v Pakistan","Galle","5 Jul 2000"
"85","-","-","1","0","","v South Africa","Galle","6 Jul 2000"
"36*","-","-","0","0","","v Pakistan","Colombo (RPS)","9 Jul 2000"
"DNB","-","-","0","1","","v South Africa","Colombo (SSC)","11 Jul 2000"
"43","-","-","1","3","","v South Africa","Colombo (RPS)","14 Jul 2000"
"2","-","-","0","0","","v West Indies","Nairobi (Gym)","4 Oct 2000"
"19","-","-","0","0","","v Pakistan","Nairobi (Gym)","8 Oct 2000"
"40*","-","-","0","0","","v India","Sharjah","20 Oct 2000"
"15*","-","-","0","0","","v Zimbabwe","Sharjah","21 Oct 2000"
"4","-","-","0","0","","v Zimbabwe","Sharjah","25 Oct 2000"
"DNB","-","-","1","0","","v India","Sharjah","27 Oct 2000"
"8","-","-","1","0","","v India","Sharjah","29 Oct 2000"
"84","-","-","0","0","","v South Africa","Port Elizabeth","15 Dec 2000"
"11","-","-","0","0","","v South Africa","East London","17 Dec 2000"
"16*","-","-","0","0","","v South Africa","Paarl","9 Jan 2001"
"1","-","-","1","0","","v South Africa","Cape Town","11 Jan 2001"
"33","-","-","0","0","","v South Africa","Bloemfontein","14 Jan 2001"
"22","-","-","1","0","","v South Africa","Johannesburg","17 Jan 2001"
"12","-","-","1","0","","v New Zealand","Napier","31 Jan 2001"
"13","-","-","2","0","","v New Zealand","Wellington","3 Feb 2001"
"13*","-","-","2","0","","v New Zealand","Auckland","6 Feb 2001"
"20","-","-","0","0","","v New Zealand","Hamilton","8 Feb 2001"
"1","-","-","2","0","","v New Zealand","Christchurch","11 Feb 2001"
"1","-","-","0","0","","v England","Dambulla","23 Mar 2001"
"6","-","-","0","0","","v England","Colombo (RPS)","25 Mar 2001"
"DNB","-","-","1","0","","v England","Colombo (SSC)","27 Mar 2001"
"11","-","-","0","0","","v Pakistan","Sharjah","8 Apr 2001"
"0","-","-","0","0","","v New Zealand","Sharjah","10 Apr 2001"
"6","-","-","0","0","","v New Zealand","Sharjah","17 Apr 2001"
"2","-","-","1","0","","v India","Colombo (RPS)","28 Jul 2001"
"18","-","-","1","0","","v India","Colombo (SSC)","1 Aug 2001"
"DNB","-","-","0","0","","v Pakistan","Sharjah","27 Oct 2001"
"35","-","-","1","2","","v Zimbabwe","Sharjah","30 Oct 2001"
"0","-","-","1","0","","v Pakistan","Sharjah","2 Nov 2001"
"3","-","-","1","0","","v Pakistan","Sharjah","4 Nov 2001"
"DNB","-","-","2","0","","v Zimbabwe","Colombo (SSC)","8 Dec 2001"
"27","-","-","0","0","","v West Indies","Colombo (RPS)","11 Dec 2001"
"1","-","-","0","2","","v Zimbabwe","Colombo (RPS)","12 Dec 2001"
"DNB","-","-","2","0","","v West Indies","Kandy","15 Dec 2001"
"23","-","-","1","1","","v West Indies","Colombo (RPS)","19 Dec 2001"
"10","-","-","0","0","","v Pakistan","Sharjah","8 Apr 2002"
"23","-","-","1","0","","v New Zealand","Sharjah","9 Apr 2002"
"5","-","-","0","0","","v Pakistan","Sharjah","12 Apr 2002"
"50","-","-","0","1","","v New Zealand","Sharjah","14 Apr 2002"
"18","-","-","0","0","","v Pakistan","Sharjah","17 Apr 2002"
"22","-","-","1","0","","v England","Nottingham","27 Jun 2002"
"1*","-","-","0","0","","v England","Leeds","2 Jul 2002"
"70","-","-","0","0","","v England","Manchester","7 Jul 2002"
"66","-","-","0","0","","v India","Bristol","11 Jul 2002"
"29","-","-","1","0","","v Bangladesh","Colombo (SSC)","4 Aug 2002"
"4","-","-","2","0","","v Bangladesh","Colombo (SSC)","5 Aug 2002"
"22","-","-","0","0","","v Bangladesh","Colombo (RPS)","7 Aug 2002"
"38","-","-","1","0","","v Pakistan","Tangier","14 Aug 2002"
"41","-","-","1","1","","v South Africa","Tangier","15 Aug 2002"
"1","-","-","2","0","","v Pakistan","Tangier","17 Aug 2002"
"57","-","-","1","1","","v South Africa","Tangier","19 Aug 2002"
"40","-","-","1","0","","v South Africa","Tangier","21 Aug 2002"
"0","-","-","1","0","","v Pakistan","Colombo (RPS)","12 Sep 2002"
"41","-","-","4","1","","v Netherlands","Colombo (RPS)","16 Sep 2002"
"48","-","-","0","1","","v Australia","Colombo (RPS)","27 Sep 2002"
"54","-","-","0","0","","v India","Colombo (RPS)","29 Sep 2002"
"26","-","-","0","0","","v India","Colombo (RPS)","30 Sep 2002"
"7","-","-","3","0","","v South Africa","Johannesburg","27 Nov 2002"
"10","-","-","0","0","","v South Africa","Centurion","29 Nov 2002"
"10","-","-","1","0","","v South Africa","Benoni","1 Dec 2002"
"1","-","-","1","0","","v South Africa","Kimberley","4 Dec 2002"
"77*","-","-","2","0","","v South Africa","Bloemfontein","6 Dec 2002"
"11","-","-","0","0","","v England","Brisbane","17 Dec 2002"
"7","-","-","1","0","","v England","Perth","20 Dec 2002"
"40","-","-","0","0","","v Australia","Perth","22 Dec 2002"
"25","-","-","1","1","","v Australia","Sydney","9 Jan 2003"
"10","-","-","2","0","","v England","Sydney","13 Jan 2003"
"42*","-","-","0","2","","v Australia","Brisbane","15 Jan 2003"
"56","-","-","1","0","","v England","Adelaide","17 Jan 2003"
"43","-","-","0","0","","v Australia","Melbourne","21 Jan 2003"
"13","-","-","3","1","","v New Zealand","Bloemfontein","10 Feb 2003"
"DNB","-","-","1","0","","v Bangladesh","Pietermaritzburg","14 Feb 2003"
"4*","-","-","2","0","","v Canada","Paarl","19 Feb 2003"
"5","-","-","2","0","","v Kenya","Nairobi (Gym)","24 Feb 2003"
"24","-","-","2","0","","v West Indies","Cape Town","28 Feb 2003"
"6","-","-","0","0","","v South Africa","Durban","3 Mar 2003"
"20","-","-","1","0","","v Australia","Centurion","7 Mar 2003"
"30","-","-","1","0","","v India","Johannesburg","10 Mar 2003"
"35","-","-","0","0","","v Zimbabwe","East London","15 Mar 2003"
"39*","-","-","3","1","","v Australia","Port Elizabeth","18 Mar 2003"
"100*","-","-","0","0","","v Pakistan","Sharjah","4 Apr 2003"
"103*","-","-","0","0","","v Kenya","Sharjah","6 Apr 2003"
"25","-","-","0","0","","v Zimbabwe","Sharjah","7 Apr 2003"
"29","-","-","1","0","","v Pakistan","Dambulla","10 May 2003"
"1","-","-","2","0","","v New Zealand","Dambulla","13 May 2003"
"17","-","-","3","0","","v Pakistan","Dambulla","18 May 2003"
"11","-","-","1","0","","v New Zealand","Dambulla","19 May 2003"
"15","-","-","1","0","","v West Indies","Bridgetown","7 Jun 2003"
"31","-","-","0","0","","v West Indies","Bridgetown","8 Jun 2003"
"11","-","-","0","0","","v West Indies","Kingstown","11 Jun 2003"
"DNB","-","-","1","0","","v England","Dambulla","18 Nov 2003"
"58","-","-","0","0","","v Australia","Dambulla","20 Feb 2004"
"39","-","-","0","0","","v Australia","Dambulla","22 Feb 2004"
"15","-","-","0","0","","v Australia","Colombo (RPS)","25 Feb 2004"
"101","-","-","2","0","","v Australia","Colombo (RPS)","27 Feb 2004"
"37","-","-","0","0","","v Australia","Colombo (SSC)","29 Feb 2004"
"73*","-","-","1","1","","v Zimbabwe","Bulawayo","20 Apr 2004"
"DNB","-","-","0","1","","v Zimbabwe","Bulawayo","22 Apr 2004"
