"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"23","-","23","-","-","2","0","","v South Africa","Galle","20 Jul 2000"
"24","5","29","-","-","3","0","","v South Africa","Kandy","30 Jul 2000"
"25","6","31","-","-","4","0","","v South Africa","Colombo (SSC)","6 Aug 2000"
"74","17","91","-","-","2","0","","v South Africa","Durban","26 Dec 2000"
"32","11","43","-","-","1","0","","v South Africa","Cape Town","2 Jan 2001"
"3","98","101","-","-","1","0","","v South Africa","Centurion","20 Jan 2001"
"58","-","58","-","-","5","0","","v England","Galle","22 Feb 2001"
"17","95","112","-","-","4","1","","v England","Kandy","7 Mar 2001"
"45","0","45","-","-","3","0","","v England","Colombo (SSC)","15 Mar 2001"
"105*","DNB","105","-","-","4","0","","v India","Galle","14 Aug 2001"
"31","13","44","-","-","1","0","","v India","Kandy","22 Aug 2001"
"47","-","47","-","-","1","1","","v India","Colombo (SSC)","29 Aug 2001"
"54","-","54","-","-","3","0","","v Bangladesh","Colombo (SSC)","6 Sep 2001"
"140","DNB","140","-","-","3","0","","v West Indies","Galle","13 Nov 2001"
"15","45","60","-","-","4","0","","v West Indies","Kandy","21 Nov 2001"
"55","DNB","55","-","-","2","1","","v West Indies","Colombo (SSC)","29 Nov 2001"
"128","-","128","-","-","3","0","","v Zimbabwe","Colombo (SSC)","27 Dec 2001"
"42","-","42","-","-","3","1","","v Zimbabwe","Kandy","4 Jan 2002"
"29","56","85","-","-","1","1","","v Zimbabwe","Galle","12 Jan 2002"
"230","14*","244","-","-","5","1","","v Pakistan","Lahore","6 Mar 2002"
"10","6*","16","-","-","6","0","","v England","Lord's","16 May 2002"
"16","1","17","-","-","2","0","","v England","Birmingham","30 May 2002"
"40","32","72","-","-","2","0","","v England","Manchester","13 Jun 2002"
"75","-","75","-","-","4","0","","v Bangladesh","Colombo (PSS)","21 Jul 2002"
"26","7","33","-","-","3","0","","v South Africa","Johannesburg","8 Nov 2002"
"35","89","124","-","-","3","0","","v South Africa","Centurion","15 Nov 2002"
"67","-","67","-","-","2","0","","v New Zealand","Colombo (PSS)","25 Apr 2003"
"10","27*","37","-","-","1","0","","v New Zealand","Kandy","3 May 2003"
"56","DNB","56","-","-","0","0","","v West Indies","Gros Islet","20 Jun 2003"
"75","12","87","-","-","2","0","","v West Indies","Kingston","27 Jun 2003"
"71","19","90","-","-","3","0","","v England","Galle","2 Dec 2003"
"34","10","44","-","-","3","2","","v England","Kandy","10 Dec 2003"
"31","-","31","-","-","3","2","","v England","Colombo (SSC)","18 Dec 2003"
"22","7","29","-","-","2","3","","v Australia","Galle","8 Mar 2004"
"5","29","34","-","-","3","1","","v Australia","Kandy","16 Mar 2004"
"22","27","49","-","-","2","0","","v Australia","Colombo (SSC)","24 Mar 2004"
"11","-","11","-","-","0","0","","v Zimbabwe","Harare","6 May 2004"
"270","-","270","-","-","1","0","","v Zimbabwe","Bulawayo","14 May 2004"
"2","0","2","-","-","6","0","","v Australia","Darwin","1 Jul 2004"
