"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"3","-","-","2","0","","v Sri Lanka","Singapore","3 Apr 1996"
"4","-","-","1","0","","v Pakistan","Singapore","5 Apr 1996"
"3","-","-","0","0","","v Pakistan","Sharjah","12 Apr 1996"
"11","-","-","2","0","","v South Africa","Sharjah","14 Apr 1996"
"22*","-","-","2","0","","v England","Manchester","26 May 1996"
"7*","-","-","0","0","","v Sri Lanka","Colombo (RPS)","28 Aug 1996"
"DNB","-","-","0","0","","v Zimbabwe","Colombo (SSC)","1 Sep 1996"
"13","-","-","1","0","","v Australia","Colombo (SSC)","6 Sep 1996"
"39","-","-","1","0","","v Pakistan","Toronto","16 Sep 1996"
"90","-","-","1","0","","v Pakistan","Toronto","17 Sep 1996"
"46","-","-","0","0","","v Pakistan","Toronto","18 Sep 1996"
"25","-","-","0","0","","v Pakistan","Toronto","21 Sep 1996"
"20","-","-","2","0","","v Pakistan","Toronto","23 Sep 1996"
"62","-","-","0","0","","v South Africa","Hyderabad (Deccan)","17 Oct 1996"
"6","-","-","0","0","","v Australia","Bengaluru","21 Oct 1996"
"0","-","-","0","0","","v South Africa","Jaipur","23 Oct 1996"
"21","-","-","0","0","","v South Africa","Rajkot","29 Oct 1996"
"56","-","-","0","0","","v Australia","Mohali","3 Nov 1996"
"31","-","-","2","0","","v South Africa","Mumbai","6 Nov 1996"
"16","-","-","0","0","","v South Africa","Mumbai","14 Dec 1996"
"8","-","-","0","0","","v South Africa","Bloemfontein","23 Jan 1997"
"23","-","-","0","0","","v Zimbabwe","Paarl","27 Jan 1997"
"50","-","-","0","0","","v South Africa","Port Elizabeth","2 Feb 1997"
"53","-","-","1","0","","v South Africa","East London","4 Feb 1997"
"12","-","-","0","0","","v Zimbabwe","Centurion","7 Feb 1997"
"17","-","-","1","0","","v Zimbabwe","Benoni","9 Feb 1997"
"33","-","-","0","0","","v South Africa","Durban","12 Feb 1997"
"84","-","-","1","0","","v South Africa","Durban","13 Feb 1997"
"17","-","-","0","0","","v West Indies","Port of Spain","26 Apr 1997"
"DNB","-","-","0","0","","v West Indies","Port of Spain","27 Apr 1997"
"74","-","-","1","0","","v West Indies","Kingstown","30 Apr 1997"
"30","-","-","0","0","","v West Indies","Bridgetown","3 May 1997"
"21*","-","-","0","0","","v New Zealand","Bengaluru","14 May 1997"
"61","-","-","0","0","","v Sri Lanka","Mumbai","17 May 1997"
"107","-","-","0","0","","v Pakistan","Chennai","21 May 1997"
"69","-","-","1","0","","v Sri Lanka","Colombo (RPS)","18 Jul 1997"
"TDNB","-","-","1","0","","v Pakistan","Colombo (SSC)","20 Jul 1997"
"DNB","-","-","0","0","","v Bangladesh","Colombo (SSC)","24 Jul 1997"
"7","0","6","0","0","","v Sri Lanka","Colombo (RPS)","26 Jul 1997"
"1","-","-","0","0","","v Sri Lanka","Colombo (RPS)","17 Aug 1997"
"18","-","-","0","0","","v Sri Lanka","Colombo (RPS)","20 Aug 1997"
"78","-","-","2","0","","v Sri Lanka","Colombo (SSC)","23 Aug 1997"
"42","-","-","0","0","","v Sri Lanka","Colombo (SSC)","24 Aug 1997"
"23","-","-","0","0","","v Pakistan","Toronto","13 Sep 1997"
"14","-","-","0","0","","v Pakistan","Toronto","14 Sep 1997"
"TDNB","-","-","0","0","","v Pakistan","Toronto","17 Sep 1997"
"25","-","-","1","0","","v Pakistan","Toronto","18 Sep 1997"
"DNB","-","-","0","0","","v Pakistan","Toronto","20 Sep 1997"
"3*","-","-","0","0","","v Pakistan","Toronto","21 Sep 1997"
"50","-","-","0","0","","v Pakistan","Hyderabad (Sind)","28 Sep 1997"
"31","-","-","0","0","","v West Indies","Sharjah","16 Dec 1997"
"5","-","-","1","0","","v Bangladesh","Mohali","14 May 1998"
"49","-","-","1","0","","v Kenya","Bengaluru","20 May 1998"
"1","-","-","1","0","","v Bangladesh","Mumbai","25 May 1998"
"33","0","29","1","0","","v Kenya","Gwalior","28 May 1998"
"4","-","-","0","0","","v Pakistan","Toronto","12 Sep 1998"
"18","-","-","1","0","","v Pakistan","Toronto","13 Sep 1998"
"9","-","-","0","0","","v Pakistan","Toronto","16 Sep 1998"
"1","-","-","1","0","","v Pakistan","Toronto","19 Sep 1998"
"64","-","-","0","0","","v Zimbabwe","Bulawayo","26 Sep 1998"
"DNB","-","-","0","0","","v Zimbabwe","Bulawayo","27 Sep 1998"
"28","-","-","0","0","","v Zimbabwe","Harare","30 Sep 1998"
"48","-","-","2","0","","v Australia","Dhaka","28 Oct 1998"
"20","0","36","0","0","","v West Indies","Dhaka","31 Oct 1998"
"3","-","-","1","0","","v Zimbabwe","Sharjah","11 Nov 1998"
"123*","-","-","0","0","","v New Zealand","Taupo","9 Jan 1999"
"38","-","-","0","0","","v New Zealand","Napier","12 Jan 1999"
"68","-","-","1","0","","v New Zealand","Wellington","14 Jan 1999"
"51","-","-","0","0","","v New Zealand","Auckland","16 Jan 1999"
"29","-","-","0","0","","v New Zealand","Christchurch","19 Jan 1999"
"116","-","-","0","0","","v Sri Lanka","Nagpur","22 Mar 1999"
"3","1","21","0","0","","v Pakistan","Jaipur","24 Mar 1999"
"17","-","-","0","0","","v Sri Lanka","Pune","30 Mar 1999"
"0","-","-","1","0","","v Pakistan","Mohali","1 Apr 1999"
"25","-","-","0","0","","v Pakistan","Bengaluru","4 Apr 1999"
"28","-","-","0","0","","v Pakistan","Sharjah","8 Apr 1999"
"16","-","-","1","1","","v England","Sharjah","9 Apr 1999"
"63","-","-","0","0","","v England","Sharjah","11 Apr 1999"
"81","-","-","1","0","","v Pakistan","Sharjah","13 Apr 1999"
