"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"95","-","95","-","-","1","0","","v England","Lord's","20 Jun 1996"
"84","8","92","-","-","0","0","","v England","Nottingham","4 Jul 1996"
"40","DNB","40","-","-","2","0","","v Australia","Delhi","10 Oct 1996"
"24","34","58","-","-","0","0","","v South Africa","Ahmedabad","20 Nov 1996"
"31","23","54","-","-","1","0","","v South Africa","Kolkata","27 Nov 1996"
"7","56","63","-","-","1","0","","v South Africa","Kanpur","8 Dec 1996"
"7","27*","34","-","-","1","0","","v South Africa","Durban","26 Dec 1996"
"2","12","14","-","-","3","0","","v South Africa","Cape Town","2 Jan 1997"
"148","81","229","-","-","2","0","","v South Africa","Johannesburg","16 Jan 1997"
"43","51*","94","-","-","0","0","","v West Indies","Kingston","6 Mar 1997"
"57","-","57","-","-","3","0","","v West Indies","Port of Spain","14 Mar 1997"
"78","2","80","-","-","0","0","","v West Indies","Bridgetown","27 Mar 1997"
"37*","-","37","-","-","2","0","","v West Indies","St John's","4 Apr 1997"
"92","-","92","-","-","0","0","","v West Indies","Georgetown","17 Apr 1997"
"69","-","69","0","4","0","0","","v Sri Lanka","Colombo (RPS)","2 Aug 1997"
"2","6","8","0","2","0","0","","v Sri Lanka","Colombo (SSC)","9 Aug 1997"
"34","-","34","-","-","2","0","","v Sri Lanka","Mohali","19 Nov 1997"
"92","-","92","-","-","-","-","","v Sri Lanka","Nagpur","26 Nov 1997"
"93","85","178","-","-","0","0","","v Sri Lanka","Mumbai","3 Dec 1997"
"52","56","108","-","-","5","0","","v Australia","Chennai","6 Mar 1998"
"86","-","86","-","-","1","0","","v Australia","Kolkata","18 Mar 1998"
"23","6","29","-","-","0","0","","v Australia","Bengaluru","25 Mar 1998"
"118","44","162","-","-","2","0","","v Zimbabwe","Harare","7 Oct 1998"
"0","28","28","-","-","2","0","","v New Zealand","Wellington","26 Dec 1998"
"190","103*","293","-","-","2","0","","v New Zealand","Hamilton","2 Jan 1999"
"53","10","63","-","-","2","0","","v Pakistan","Chennai","28 Jan 1999"
"33","29","62","-","-","2","0","","v Pakistan","Delhi","4 Feb 1999"
"24","13","37","-","-","1","0","","v Pakistan","Kolkata","16 Feb 1999"
"107","DNB","107","-","-","0","0","","v Sri Lanka","Colombo (SSC)","24 Feb 1999"
"1","144","145","-","-","0","0","","v New Zealand","Mohali","10 Oct 1999"
"48","1","49","-","-","2","0","","v New Zealand","Kanpur","22 Oct 1999"
"33","12","45","0","0","1","0","","v New Zealand","Ahmedabad","29 Oct 1999"
"35","6","41","-","-","1","0","","v Australia","Adelaide","10 Dec 1999"
"9","14","23","-","-","0","0","","v Australia","Melbourne","26 Dec 1999"
"29","0","29","-","-","0","0","","v Australia","Sydney","2 Jan 2000"
"22","37","59","-","-","1","0","","v South Africa","Mumbai","24 Feb 2000"
"17","18","35","-","-","0","0","","v South Africa","Bengaluru","2 Mar 2000"
"28","41*","69","-","-","1","0","","v Bangladesh","Dhaka","10 Nov 2000"
"200*","70*","270","-","-","3","0","","v Zimbabwe","Delhi","18 Nov 2000"
"162","-","162","0","15","1","0","","v Zimbabwe","Nagpur","25 Nov 2000"
"9","39","48","-","-","2","0","","v Australia","Mumbai","27 Feb 2001"
"25","180","205","-","-","0","0","","v Australia","Kolkata","11 Mar 2001"
"81","4","85","-","-","4","0","","v Australia","Chennai","18 Mar 2001"
"44","DNB","44","-","-","2","0","","v Zimbabwe","Bulawayo","7 Jun 2001"
