Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date
1,-,-,0,0,,v South Africa,Wellington,15-Feb-95
10*,-,-,0,0,,v New Zealand,Auckland,19-Feb-95
62,-,-,0,0,,v India,Dunedin,22-Feb-95
7*,-,-,0,0,,v New Zealand,Auckland,26-Feb-95
43,-,-,0,0,,v West Indies,Port of Spain,12-Mar-95
0,-,-,0,0,,v West Indies,Georgetown,18-Mar-95
11,-,-,0,0,,v West Indies,Adelaide,17-Dec-95
6,-,-,1,0,,v West Indies,Melbourne,19-Dec-95
56,-,-,0,0,,v Sri Lanka,Sydney,21-Dec-95
0,-,-,0,0,,v West Indies,Sydney,01-Jan-96
61,-,-,0,0,,v West Indies,Brisbane,07-Jan-96
123,-,-,0,0,,v Sri Lanka,Melbourne,09-Jan-96
11,-,-,1,0,,v Sri Lanka,Perth,12-Jan-96
5,-,-,0,0,,v Sri Lanka,Melbourne,16-Jan-96
51,-,-,0,0,,v Sri Lanka,Melbourne,18-Jan-96
17,-,-,0,0,,v Sri Lanka,Sydney,20-Jan-96
6,-,-,1,0,,v Kenya,Visakhapatnam,23-Feb-96
12,-,-,0,0,,v India,Mumbai,27-Feb-96
33,-,-,0,0,,v Zimbabwe,Nagpur,01-Mar-96
102,-,-,0,0,,v West Indies,Jaipur,04-Mar-96
31,-,-,0,0,,v New Zealand,Chennai,11-Mar-96
0,-,-,0,0,,v West Indies,Mohali,14-Mar-96
45,-,-,0,0,,v Sri Lanka,Lahore,17-Mar-96
53,-,-,1,0,,v Zimbabwe,Colombo (RPS),26-Aug-96
46*,-,-,0,0,,v Sri Lanka,Colombo (RPS),30-Aug-96
0,-,-,0,0,,v India,Colombo (SSC),06-Sep-96
17,-,-,0,0,,v Sri Lanka,Colombo (RPS),07-Sep-96
35,-,-,0,0,,v South Africa,Indore,19-Oct-96
17,-,-,0,0,,v South Africa,Faridabad,25-Oct-96
0,-,-,0,0,,v South Africa,Guwahati,01-Nov-96
5,-,-,0,0,,v West Indies,Melbourne,06-Dec-96
44,-,-,0,0,,v West Indies,Sydney,08-Dec-96
19,-,-,0,0,,v Pakistan,Adelaide,15-Dec-96
15,-,-,0,0,,v South Africa,Melbourne,09-Dec-97
60*,-,-,0,0,,v New Zealand,Melbourne,17-Dec-97
31,-,-,0,0,,v South Africa,Brisbane,11-Jan-98
84,-,-,1,0,,v New Zealand,Sydney,14-Jan-98
16,-,-,0,0,,v South Africa,Perth,18-Jan-98
100,-,-,0,0,,v New Zealand,Melbourne,21-Jan-98
33,-,-,0,0,,v South Africa,Melbourne,23-Jan-98
47,-,-,1,0,,v South Africa,Sydney,26-Jan-98
76,-,-,1,0,,v South Africa,Sydney,27-Jan-98
10*,-,-,0,0,,v New Zealand,Christchurch,08-Feb-98
26,-,-,0,0,,v New Zealand,Wellington,10-Feb-98
30,-,-,0,0,,v New Zealand,Napier,12-Feb-98
10,-,-,1,0,,v New Zealand,Auckland,14-Feb-98
12,-,-,1,0,,v India,Kochi,01-Apr-98
53,-,-,0,0,,v Zimbabwe,Ahmedabad,03-Apr-98
84,-,-,0,0,,v India,Kanpur,07-Apr-98
145,-,-,0,0,,v Zimbabwe,Delhi,11-Apr-98
41,-,-,0,0,,v India,Delhi,14-Apr-98
52,-,-,0,0,,v New Zealand,Sharjah,18-Apr-98
48,-,-,1,0,,v India,Sharjah,19-Apr-98
31,-,-,0,0,,v India,Sharjah,22-Apr-98
1,-,-,0,0,,v India,Sharjah,24-Apr-98
41,-,-,0,0,,v India,Dhaka,28-Oct-98
16,-,-,0,0,,v Pakistan,Karachi,06-Nov-98
55,0,21,2,0,,v Pakistan,Peshawar,08-Nov-98
124*,-,-,0,0,,v Pakistan,Lahore,10-Nov-98
8,-,-,1,0,,v England,Brisbane,10-Jan-99
43*,-,-,0,0,,v Sri Lanka,Sydney,13-Jan-99
75*,-,-,1,0,,v England,Melbourne,15-Jan-99
6,-,-,0,0,,v England,Sydney,17-Jan-99
39,1,41,1,0,,v Sri Lanka,Perth,31-Jan-99
43,-,-,0,0,,v England,Sydney,05-Feb-99
61,-,-,1,0,,v Sri Lanka,Melbourne,07-Feb-99
10,-,-,0,0,,v England,Sydney,10-Feb-99
37,-,-,0,0,,v England,Melbourne,13-Feb-99
23,-,-,1,0,,v West Indies,Kingstown,11-Apr-99
7,-,-,0,0,,v West Indies,Port of Spain,18-Apr-99
0,-,-,0,0,,v West Indies,Georgetown,21-Apr-99
43,-,-,2,0,,v West Indies,Bridgetown,24-Apr-99
1,-,-,0,0,,v West Indies,Bridgetown,25-Apr-99
33,-,-,0,0,,v Scotland,Worcester,16-May-99
47,-,-,1,0,,v New Zealand,Cardiff,20-May-99
47,-,-,0,0,,v Pakistan,Leeds,23-May-99
18*,-,-,3,0,,v Bangladesh,Chester-le-Street,27-May-99
20,-,-,0,0,,v West Indies,Manchester,30-May-99
23,-,-,0,0,,v India,The Oval,04-Jun-99
36,-,-,0,0,,v Zimbabwe,Lord's,09-Jun-99
69,-,-,1,0,,v South Africa,Leeds,13-Jun-99
37,-,-,0,0,,v South Africa,Birmingham,17-Jun-99
24,-,-,1,0,,v Pakistan,Lord's,20-Jun-99
38,-,-,1,0,,v Sri Lanka,Galle,22-Aug-99
1*,-,-,0,0,,v India,Galle,23-Aug-99
14,-,-,1,0,,v Sri Lanka,Colombo (RPS),26-Aug-99
32,-,-,0,0,,v India,Colombo (SSC),28-Aug-99
18,0,2,0,0,,v Sri Lanka,Colombo (RPS),31-Aug-99
67,-,-,2,0,,v Zimbabwe,Bulawayo,21-Oct-99
31*,-,-,2,0,,v Zimbabwe,Harare,23-Oct-99
87*,-,-,0,0,,v Zimbabwe,Harare,24-Oct-99
32,-,-,0,0,,v Pakistan,Brisbane,09-Jan-00
115,-,-,0,0,,v India,Melbourne,12-Jan-00
0,-,-,0,0,,v India,Sydney,14-Jan-00
0,-,-,0,0,,v Pakistan,Melbourne,16-Jan-00
