Bat1,Bat2,Runs,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date
96,-,96,-,-,3,0,,v Sri Lanka,Perth,08-Dec-95
71,DNB,71,1,8,1,0,,v Sri Lanka,Melbourne,26-Dec-95
6,20,26,-,-,0,0,,v Sri Lanka,Adelaide,25-Jan-96
14,13,27,-,-,3,0,,v India,Delhi,10-Oct-96
88,9,97,1,0,2,0,,v West Indies,Brisbane,22-Nov-96
9,4,13,-,-,0,0,,v West Indies,Sydney,29-Nov-96
127,-,127,-,-,1,0,,v England,Leeds,24-Jul-97
9,45,54,-,-,0,0,,v England,Nottingham,07-Aug-97
40,20,60,-,-,0,0,,v England,The Oval,21-Aug-97
26,73*,99,-,-,0,0,,v New Zealand,Brisbane,07-Nov-97
16,-,16,-,-,0,0,,v New Zealand,Perth,20-Nov-97
4,DNB,4,-,-,2,0,,v New Zealand,Hobart,27-Nov-97
105,32,137,-,-,0,0,,v South Africa,Melbourne,26-Dec-97
62,-,62,-,-,2,0,,v South Africa,Sydney,02-Jan-98
26,23,49,-,-,0,0,,v South Africa,Adelaide,30-Jan-98
18,2,20,-,-,1,0,,v India,Chennai,06-Mar-98
60,9,69,-,-,0,0,,v India,Kolkata,18-Mar-98
16,DNB,16,-,-,2,0,,v India,Bengaluru,25-Mar-98
76*,43,119,1,13,0,0,,v Pakistan,Peshawar,15-Oct-98
21,DNB,21,0,10,1,0,,v England,Brisbane,20-Nov-98
11,DNB,11,-,-,2,0,,v England,Perth,28-Nov-98
5,10,15,-,-,1,0,,v England,Adelaide,11-Dec-98
104,22,126,1,12,0,0,,v West Indies,Bridgetown,26-Mar-99
21,21*,42,-,-,1,0,,v West Indies,St John's,03-Apr-99
96,51,147,-,-,2,0,,v Sri Lanka,Kandy,09-Sep-99
1,-,1,0,7,1,0,,v Sri Lanka,Galle,22-Sep-99
105*,-,105,-,-,0,0,,v Sri Lanka,Colombo (SSC),30-Sep-99
31,DNB,31,0,0,2,0,,v Zimbabwe,Harare,14-Oct-99
0,DNB,0,0,24,2,0,,v Pakistan,Brisbane,05-Nov-99
0,0,0,0,7,1,0,,v Pakistan,Hobart,18-Nov-99
197,-,197,-,-,2,0,,v Pakistan,Perth,26-Nov-99
125,21,146,-,-,0,0,,v India,Adelaide,10-Dec-99
67,21*,88,-,-,0,0,,v India,Melbourne,26-Dec-99
141*,-,141,0,8,3,0,,v India,Sydney,02-Jan-00
20,-,20,-,-,1,0,,v West Indies,Brisbane,23-Nov-00
5,-,5,-,-,1,0,,v West Indies,Perth,01-Dec-00
92,11,103,0,0,2,0,,v West Indies,Adelaide,15-Dec-00
23,26*,49,-,-,1,0,,v West Indies,Melbourne,26-Dec-00
51,14*,65,-,-,0,0,,v West Indies,Sydney,02-Jan-01
0,DNB,0,-,-,3,0,,v India,Mumbai,27-Feb-01
6,0,6,0,41,3,0,,v India,Kolkata,11-Mar-01
0,11,11,0,2,1,0,,v India,Chennai,18-Mar-01
11,-,11,-,-,1,0,,v England,Birmingham,05-Jul-01
14,4,18,-,-,2,0,,v England,Lord's,19-Jul-01
14,17,31,-,-,3,0,,v England,Nottingham,02-Aug-01
144,72,216,-,-,0,0,,v England,Leeds,16-Aug-01
62,-,62,0,8,1,0,,v England,The Oval,23-Aug-01
5,32*,37,0,8,3,0,,v New Zealand,Brisbane,08-Nov-01
157*,-,157,-,-,0,0,,v New Zealand,Hobart,22-Nov-01
31,26,57,0,1,0,0,,v New Zealand,Perth,30-Nov-01
54,25,79,-,-,5,0,,v South Africa,Adelaide,14-Dec-01
22,0*,22,-,-,3,0,,v South Africa,Melbourne,26-Dec-01
14,DNB,14,0,11,3,0,,v South Africa,Sydney,02-Jan-02
39,-,39,-,-,1,0,,v South Africa,Johannesburg,22-Feb-02
47,100*,147,-,-,3,0,,v South Africa,Cape Town,08-Mar-02
89,34,123,-,-,0,0,,v South Africa,Durban,15-Mar-02
141,7,148,-,-,2,0,,v Pakistan,Colombo (PSS),03-Oct-02
44,-,44,-,-,0,0,,v Pakistan,Sharjah,11-Oct-02
150,-,150,0,5,0,0,,v Pakistan,Sharjah,19-Oct-02
123,3,126,-,-,4,0,,v England,Brisbane,07-Nov-02
154,-,154,-,-,1,0,,v England,Adelaide,21-Nov-02
68,-,68,-,-,0,0,,v England,Perth,29-Nov-02
21,30,51,-,-,1,0,,v England,Melbourne,26-Dec-02
7,11,18,-,-,0,0,,v England,Sydney,02-Jan-03
117,42*,159,-,-,1,0,,v West Indies,Georgetown,10-Apr-03
206,45,251,-,-,0,0,,v West Indies,Port of Spain,19-Apr-03
113,DNB,113,0,6,2,0,,v West Indies,Bridgetown,01-May-03
10,-,10,-,-,0,0,,v Bangladesh,Darwin,18-Jul-03
59,-,59,-,-,2,0,,v Bangladesh,Cairns,25-Jul-03
37,-,37,0,15,0,0,,v Zimbabwe,Perth,09-Oct-03
169,53*,222,-,-,2,0,,v Zimbabwe,Sydney,17-Oct-03
54,50,104,-,-,0,0,,v India,Brisbane,04-Dec-03
242,0,242,0,4,1,0,,v India,Adelaide,12-Dec-03
257,31*,288,-,-,0,0,,v India,Melbourne,26-Dec-03
25,47,72,-,-,0,0,,v India,Sydney,02-Jan-04
21,28,49,-,-,0,0,,v Sri Lanka,Galle,08-Mar-04
10,27,37,-,-,1,0,,v Sri Lanka,Kandy,16-Mar-04
92,20,112,-,-,0,0,,v Sri Lanka,Colombo (SSC),24-Mar-04
22,45,67,-,-,2,0,,v Sri Lanka,Cairns,09-Jul-04
11,12,23,-,-,2,0,,v India,Mumbai,03-Nov-04
51,-,51,-,-,3,0,,v New Zealand,Brisbane,18-Nov-04
68,26*,94,-,-,1,0,,v New Zealand,Adelaide,26-Nov-04
25,98,123,0,15,0,0,,v Pakistan,Perth,16-Dec-04
7,62*,69,-,-,3,0,,v Pakistan,Melbourne,26-Dec-04
207,4*,211,-,-,1,0,,v Pakistan,Sydney,02-Jan-05
46,47*,93,-,-,0,0,,v New Zealand,Christchurch,10-Mar-05
9,-,9,-,-,0,0,,v New Zealand,Wellington,18-Mar-05
105,86*,191,0,10,2,0,,v New Zealand,Auckland,26-Mar-05
9,42,51,-,-,0,0,,v England,Lord's,21-Jul-05
61,0,61,-,-,2,0,,v England,Birmingham,04-Aug-05
7,156,163,-,-,0,0,,v England,Manchester,11-Aug-05
1,48,49,1,9,1,0,,v England,Nottingham,25-Aug-05
35,DNB,35,-,-,1,0,,v England,The Oval,08-Sep-05
46,54,100,-,-,1,0,,v ICC World XI,Sydney,14-Oct-05
149,104*,253,-,-,0,0,,v West Indies,Brisbane,03-Nov-05
17,0*,17,-,-,1,0,,v West Indies,Hobart,17-Nov-05
56,3,59,-,-,2,0,,v West Indies,Adelaide,25-Nov-05
71,53,124,-,-,2,0,,v South Africa,Perth,16-Dec-05
117,11,128,-,-,2,0,,v South Africa,Melbourne,26-Dec-05
120,143*,263,-,-,1,0,,v South Africa,Sydney,02-Jan-06
74,1,75,-,-,0,0,,v South Africa,Cape Town,16-Mar-06
103,116,219,-,-,1,0,,v South Africa,Durban,24-Mar-06
34,20,54,0,7,1,0,,v South Africa,Johannesburg,31-Mar-06
21,118*,139,-,-,0,0,,v Bangladesh,Fatullah,09-Apr-06
52,-,52,-,-,2,0,,v Bangladesh,Chattogram,16-Apr-06
196,60*,256,-,-,1,0,,v England,Brisbane,23-Nov-06
142,49,191,-,-,0,0,,v England,Adelaide,01-Dec-06
2,75,77,-,-,0,0,,v England,Perth,14-Dec-06
7,-,7,-,-,2,0,,v England,Melbourne,26-Dec-06
45,DNB,45,-,-,1,0,,v England,Sydney,02-Jan-07
56,-,56,-,-,1,0,,v Sri Lanka,Brisbane,08-Nov-07
31,53*,84,-,-,2,0,,v Sri Lanka,Hobart,16-Nov-07
4,3,7,-,-,2,0,,v India,Melbourne,26-Dec-07
55,1,56,-,-,0,0,,v India,Sydney,02-Jan-08
20,45,65,-,-,2,0,,v India,Perth,16-Jan-08
140,-,140,-,-,2,0,,v India,Adelaide,24-Jan-08
158,5,163,-,-,0,0,,v West Indies,Kingston,22-May-08
65,38,103,-,-,0,0,,v West Indies,North Sound,30-May-08
18,39,57,-,-,1,0,,v West Indies,Bridgetown,12-Jun-08
123,17,140,-,-,1,0,,v India,Bengaluru,09-Oct-08
5,2,7,-,-,0,0,,v India,Mohali,17-Oct-08
87,DNB,87,0,11,2,0,,v India,Delhi,29-Oct-08
24,8,32,-,-,0,0,,v India,Nagpur,06-Nov-08
4,17,21,-,-,3,0,,v New Zealand,Brisbane,20-Nov-08
79,-,79,-,-,2,0,,v New Zealand,Adelaide,28-Nov-08
0,32,32,-,-,0,0,,v South Africa,Perth,17-Dec-08
101,99,200,-,-,0,0,,v South Africa,Melbourne,26-Dec-08
0,53,53,-,-,0,0,,v South Africa,Sydney,03-Jan-09
83,25,108,-,-,2,0,,v South Africa,Johannesburg,26-Feb-09
9,81,90,-,-,3,0,,v South Africa,Durban,06-Mar-09
0,12,12,-,-,1,0,,v South Africa,Cape Town,19-Mar-09
150,-,150,-,-,2,0,,v England,Cardiff,08-Jul-09
2,38,40,-,-,2,0,,v England,Lord's,16-Jul-09
38,5,43,-,-,1,0,,v England,Birmingham,30-Jul-09
78,-,78,-,-,3,0,,v England,Leeds,07-Aug-09
8,66,74,-,-,3,0,,v England,The Oval,20-Aug-09
55,-,55,-,-,0,0,,v West Indies,Brisbane,26-Nov-09
36,20,56,-,-,2,0,,v West Indies,Adelaide,04-Dec-09
23*,2,25,-,-,0,0,,v West Indies,Perth,16-Dec-09
57,12,69,-,-,1,0,,v Pakistan,Melbourne,26-Dec-09
0,11,11,-,-,0,0,,v Pakistan,Sydney,03-Jan-10
209,89,298,-,-,2,0,,v Pakistan,Hobart,14-Jan-10
41,DNB,41,-,-,2,0,,v New Zealand,Wellington,19-Mar-10
22,6,28,-,-,4,0,,v New Zealand,Hamilton,27-Mar-10
26,0,26,-,-,2,0,,v Pakistan,Lord's,13-Jul-10
6,66,72,-,-,0,0,,v Pakistan,Leeds,21-Jul-10
71,4,75,-,-,1,0,,v India,Mohali,01-Oct-10
77,72,149,-,-,1,0,,v India,Bengaluru,09-Oct-10
10,51*,61,-,-,1,0,,v England,Brisbane,25-Nov-10
0,9,9,-,-,0,0,,v England,Adelaide,03-Dec-10
12,1,13,-,-,2,0,,v England,Perth,16-Dec-10
10,20,30,-,-,1,0,,v England,Melbourne,26-Dec-10
44,4,48,0,5,2,0,,v Sri Lanka,Galle,31-Aug-11
48,28,76,0,14,1,0,,v Sri Lanka,Colombo (SSC),16-Sep-11
8,0,8,-,-,2,0,,v South Africa,Cape Town,09-Nov-11
0,62,62,0,8,1,0,,v South Africa,Johannesburg,17-Nov-11
78,DNB,78,-,-,2,0,,v New Zealand,Brisbane,01-Dec-11
5,16,21,0,4,1,0,,v New Zealand,Hobart,09-Dec-11
62,60,122,-,-,1,0,,v India,Melbourne,26-Dec-11
134,-,134,-,-,0,0,,v India,Sydney,03-Jan-12
7,-,7,-,-,3,0,,v India,Perth,13-Jan-12
221,60*,281,-,-,2,0,,v India,Adelaide,24-Jan-12
4,14,18,-,-,0,0,,v West Indies,Bridgetown,07-Apr-12
7,41,48,-,-,0,0,,v West Indies,Port of Spain,15-Apr-12
23,57,80,-,-,1,0,,v West Indies,Roseau,23-Apr-12
0,-,0,-,-,0,0,,v South Africa,Brisbane,09-Nov-12
4,16,20,0,0,2,0,,v South Africa,Adelaide,22-Nov-12
4,8,12,0,3,0,0,,v South Africa,Perth,30-Nov-12
