"Bat1","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"52","0","12","0","0","","v Pakistan","Dhaka","18 Mar 2012"
"114","-","-","0","0","","v Bangladesh","Dhaka","16 Mar 2012"
"6","-","-","1","0","","v Sri Lanka","Dhaka","13 Mar 2012"
"39","-","-","0","0","","v Sri Lanka","Hobart","28 Feb 2012"
"14","-","-","0","0","","v Australia","Sydney","26 Feb 2012"
"22","-","-","1","0","","v Sri Lanka","Brisbane","21 Feb 2012"
"3","-","-","1","0","","v Australia","Brisbane","19 Feb 2012"
"15","-","-","0","0","","v Sri Lanka","Adelaide","14 Feb 2012"
"48","-","-","1","0","","v Sri Lanka","Perth","8 Feb 2012"
"2","-","-","0","0","","v Australia","Melbourne","5 Feb 2012"
"18","0","12","0","0","","v Sri Lanka","Mumbai","2 Apr 2011"
"85","-","-","1","0","","v Pakistan","Mohali","30 Mar 2011"
"53","0","9","0","0","","v Australia","Ahmedabad","24 Mar 2011"
"2","-","-","0","0","","v West Indies","Chennai","20 Mar 2011"
"111","-","-","1","0","","v South Africa","Nagpur","12 Mar 2011"
"27","-","-","0","0","","v Netherlands","Delhi","9 Mar 2011"
"38","-","-","0","0","","v Ireland","Bengaluru","6 Mar 2011"
"120","-","-","0","0","","v England","Bengaluru","27 Feb 2011"
"28","-","-","0","0","","v Bangladesh","Dhaka","19 Feb 2011"
"24","-","-","0","0","","v South Africa","Johannesburg","15 Jan 2011"
"7","-","-","0","0","","v South Africa","Durban","12 Jan 2011"
"200*","-","-","0","0","","v South Africa","Gwalior","24 Feb 2010"
"4","-","-","0","0","","v South Africa","Jaipur","21 Feb 2010"
"8","-","-","1","0","","v Sri Lanka","Kolkata","24 Dec 2009"
"96*","-","-","0","0","","v Sri Lanka","Cuttack","21 Dec 2009"
"43","-","-","0","0","","v Sri Lanka","Nagpur","18 Dec 2009"
"69","-","-","1","0","","v Sri Lanka","Rajkot","15 Dec 2009"
"10","0","11","0","0","","v Australia","Guwahati","8 Nov 2009"
"175","-","-","1","0","","v Australia","Hyderabad (Deccan)","5 Nov 2009"
"40","-","-","0","0","","v Australia","Mohali","2 Nov 2009"
"32","-","-","0","0","","v Australia","Delhi","31 Oct 2009"
"4","-","-","1","0","","v Australia","Nagpur","28 Oct 2009"
"14","-","-","0","0","","v Australia","Vadodara","25 Oct 2009"
"TDNB","-","-","1","0","","v Australia","Centurion","28 Sep 2009"
"8","-","-","0","0","","v Pakistan","Centurion","26 Sep 2009"
"138","-","-","0","0","","v Sri Lanka","Colombo (RPS)","14 Sep 2009"
"27","-","-","0","0","","v Sri Lanka","Colombo (RPS)","12 Sep 2009"
"46","-","-","0","0","","v New Zealand","Colombo (RPS)","11 Sep 2009"
"163*","-","-","0","0","","v New Zealand","Christchurch","8 Mar 2009"
"61","-","-","-","-","","v New Zealand","Wellington","6 Mar 2009"
"20","-","-","1","0","","v New Zealand","Napier","3 Mar 2009"
"7","0","11","1","0","","v Sri Lanka","Colombo (RPS)","3 Feb 2009"
"6","-","-","1","0","","v Sri Lanka","Colombo (RPS)","31 Jan 2009"
"5","-","-","0","0","","v Sri Lanka","Dambulla","28 Jan 2009"
"50","-","-","2","0","","v England","Cuttack","26 Nov 2008"
"11","-","-","2","0","","v England","Bengaluru","23 Nov 2008"
"91","-","-","0","0","","v Australia","Brisbane","4 Mar 2008"
"117*","-","-","0","0","","v Australia","Sydney","2 Mar 2008"
"63","-","-","0","0","","v Sri Lanka","Hobart","26 Feb 2008"
"2","-","-","0","0","","v Australia","Sydney","24 Feb 2008"
"0","-","-","0","0","","v Sri Lanka","Adelaide","19 Feb 2008"
"5","-","-","0","0","","v Australia","Adelaide","17 Feb 2008"
"32","0","15","0","0","","v Sri Lanka","Canberra","12 Feb 2008"
"44","0","6","2","0","","v Australia","Melbourne","10 Feb 2008"
"35","-","-","-","-","","v Sri Lanka","Brisbane","5 Feb 2008"
"10","-","-","0","0","","v Australia","Brisbane","3 Feb 2008"
"30","-","-","0","0","","v Pakistan","Jaipur","18 Nov 2007"
"97","-","-","0","0","","v Pakistan","Gwalior","15 Nov 2007"
"29","0","11","0","0","","v Pakistan","Kanpur","11 Nov 2007"
"99","0","11","0","0","","v Pakistan","Mohali","8 Nov 2007"
"4","2","32","0","0","","v Pakistan","Guwahati","5 Nov 2007"
"21","-","-","1","0","","v Australia","Mumbai","17 Oct 2007"
"72","0","20","1","0","","v Australia","Nagpur","14 Oct 2007"
"47","0","11","0","0","","v Australia","Vadodara","11 Oct 2007"
"79","-","-","0","0","","v Australia","Chandigarh","8 Oct 2007"
