"Bat1","Bat2","Runs","Wkts","Conc","Ct","St","","Opposition","Ground","Start Date"
"74","-","74","0","8","0","0","","v West Indies","Mumbai","14 Nov 2013"
"10","-","10","1","23","0","0","","v West Indies","Kolkata","6 Nov 2013"
"32","1","33","-","-","0","0","","v Australia","Delhi","22 Mar 2013"
"37","21","58","0","2","0","0","","v Australia","Mohali","14 Mar 2013"
"7","-","7","-","-","0","0","","v Australia","Hyderabad (Deccan)","2 Mar 2013"
"81","13*","94","-","-","1","0","","v Australia","Chennai","22 Feb 2013"
"2","-","2","-","-","0","0","","v England","Nagpur","13 Dec 2012"
"76","5","81","-","-","0","0","","v England","Kolkata","5 Dec 2012"
"8","8","16","-","-","0","0","","v England","Mumbai","23 Nov 2012"
"13","DNB","13","0","8","1","0","","v England","Ahmedabad","15 Nov 2012"
"17","27","44","-","-","0","0","","v New Zealand","Bengaluru","31 Aug 2012"
"19","-","19","0","6","0","0","","v New Zealand","Hyderabad (Deccan)","23 Aug 2012"
"25","13","38","-","-","1","0","","v Australia","Adelaide","24 Jan 2012"
"15","8","23","-","-","0","0","","v Australia","Perth","13 Jan 2012"
"41","80","121","-","-","2","0","","v Australia","Sydney","3 Jan 2012"
"73","32","105","-","-","0","0","","v Australia","Melbourne","26 Dec 2011"
"94","3","97","0","29","2","0","","v West Indies","Mumbai","22 Nov 2011"
"38","-","38","-","-","0","0","","v West Indies","Kolkata","14 Nov 2011"
"7","76","83","-","-","0","0","","v West Indies","Delhi","6 Nov 2011"
"23","91","114","0","11","0","0","","v England","The Oval","18 Aug 2011"
"1","40","41","0","17","1","0","","v England","Birmingham","10 Aug 2011"
"16","56","72","-","-","1","0","","v England","Nottingham","29 Jul 2011"
"34","12","46","-","-","0","0","","v England","Lord's","21 Jul 2011"
"146","14*","160","1","9","0","0","","v South Africa","Cape Town","2 Jan 2011"
"13","6","19","0","6","0","0","","v South Africa","Durban","26 Dec 2010"
"36","111*","147","0","51","0","0","","v South Africa","Centurion","16 Dec 2010"
"61","-","61","-","-","0","0","","v New Zealand","Nagpur","20 Nov 2010"
"13","DNB","13","0","7","0","0","","v New Zealand","Hyderabad (Deccan)","12 Nov 2010"
"40","12","52","0","16","0","0","","v New Zealand","Ahmedabad","4 Nov 2010"
"214","53*","267","-","-","0","0","","v Australia","Bengaluru","9 Oct 2010"
"98","38","136","-","-","0","0","","v Australia","Mohali","1 Oct 2010"
"41","54","95","-","-","1","0","","v Sri Lanka","Colombo (PSS)","3 Aug 2010"
"203","-","203","-","-","0","0","","v Sri Lanka","Colombo (SSC)","26 Jul 2010"
"8","84","92","-","-","1","0","","v Sri Lanka","Galle","18 Jul 2010"
"106","-","106","0","1","0","0","","v South Africa","Kolkata","14 Feb 2010"
"7","100","107","-","-","0","0","","v South Africa","Nagpur","6 Feb 2010"
"143","DNB","143","-","-","0","0","","v Bangladesh","Dhaka","24 Jan 2010"
"105*","16","121","-","-","0","0","","v Bangladesh","Chattogram","17 Jan 2010"
"53","-","53","-","-","0","0","","v Sri Lanka","Mumbai (BS)","2 Dec 2009"
"40","-","40","0","6","1","0","","v Sri Lanka","Kanpur","24 Nov 2009"
"4","100*","104","0","20","1","0","","v Sri Lanka","Ahmedabad","16 Nov 2009"
"62","9","71","2","45","0","0","","v New Zealand","Wellington","3 Apr 2009"
"49","64","113","-","-","1","0","","v New Zealand","Napier","26 Mar 2009"
"160","DNB","160","-","-","1","0","","v New Zealand","Hamilton","18 Mar 2009"
"11","5","16","-","-","0","0","","v England","Mohali","19 Dec 2008"
"37","103*","140","-","-","0","0","","v England","Chennai","11 Dec 2008"
"109","12","121","0","13","1","0","","v Australia","Nagpur","6 Nov 2008"
"68","47","115","0","2","0","0","","v Australia","Delhi","29 Oct 2008"
"88","10*","98","-","-","1","0","","v Australia","Mohali","17 Oct 2008"
"13","49","62","-","-","0","0","","v Australia","Bengaluru","9 Oct 2008"
"6","14","20","-","-","0","0","","v Sri Lanka","Colombo (PSS)","8 Aug 2008"
